ts_code,freq,quantile,pct_gain_1p,pct_gain_2p,pct_gain_3p,pct_gain_5p,pct_loss_1p,pct_loss_2p,pct_loss_3p,pct_loss_5p,top_or_bottom,period
000001.SH,M,0.1,2.133,3.048,7.157,7.322,-28.142,-39.878,-44.424,-44.424,B,610
000001.SH,M,0.25,7.34,10.9475,13.1275,17.41,-20.285,-27.495,-27.495,-27.495,B,610
000001.SH,M,0.5,17.655,27.41,66.11,101.64,-11.58,-13.51,-13.51,-14.73,B,610
000001.SH,M,0.75,58.515,103.1525,124.8775,217.745,-0.9475,-2.27,-2.835,-3.7675,B,610
000001.SH,M,0.9,126.744,154.758,293.367,324.848,0,0,0,0,B,610
000001.SH,M,0.1,0,0,1.6,2.895,-53.79,-53.79,-55.055,-55.055,T,610
000001.SH,M,0.25,1.97,3.7575,4.585,14.5325,-25.765,-31.2925,-32.035,-32.7325,T,610
000001.SH,M,0.5,9.16,16.785,36.775,68.16,-16.3,-19.14,-20.36,-21.4,T,610
000001.SH,M,0.75,40.165,79.3175,95.6225,166.625,-7.84,-12.1,-12.1225,-12.755,T,610
000001.SH,M,0.9,90.16,115.01,176.975,265.505,-0.815,-1.175,-2.85,-2.85,T,610
000001.SZ,M,0.1,4.326,6.628,7.17,11.502,-53.866,-60.858,-74.08,-77.36,B,610
000001.SZ,M,0.25,13.5,18.91,27.69,53.63,-38.5,-49.76,-56.01,-61.37,B,610
000001.SZ,M,0.5,43.97,70.41,113.8,161.39,-16.37,-26.71,-31.8,-32.97,B,610
000001.SZ,M,0.75,80.39,151.74,238.44,415.83,-0.33,-3.63,-5.88,-6.75,B,610
000001.SZ,M,0.9,138.64,695.868,718.29,802.66,0,0,0,0,B,610
000001.SZ,M,0.1,0,0,0,2.758,-58.578,-67.95,-76.894,-81.342,T,610
000001.SZ,M,0.25,2.55,9.76,18.21,32,-45.93,-57.39,-61.87,-65.06,T,610
000001.SZ,M,0.5,26.43,59.33,105.34,154.02,-25.67,-35.83,-36.07,-36.21,T,610
000001.SZ,M,0.75,74.55,154.53,359.04,414.9,-12.03,-16.95,-17.02,-18.59,T,610
000001.SZ,M,0.9,266.476,723.028,723.028,749.406,-0.472,-0.602,-2.724,-3.71,T,610
000002.SZ,M,0.1,9.236,10.822,11.572,12.17,-49.598,-67.928,-86.288,-87.27,B,610
000002.SZ,M,0.25,16.355,29.01,38.055,45.08,-34.51,-50.96,-62.275,-69.785,B,610
000002.SZ,M,0.5,40.53,75.57,181.15,227.41,-17.82,-26.13,-27.68,-47.43,B,610
000002.SZ,M,0.75,98.45,321.585,496.315,637.29,-0.47,-4.555,-8.965,-10.565,B,610
000002.SZ,M,0.9,297.926,737.656,1565.608,2002.648,0,0,0,0,B,610
000002.SZ,M,0.1,0,0,0,4.76,-66.94,-88.3,-91.85,-91.85,T,610
000002.SZ,M,0.25,5,14.72,16.15,23.285,-46.37,-61.16,-72.755,-75.54,T,610
000002.SZ,M,0.5,21.23,43.56,58.83,131.83,-29.85,-37.27,-43.96,-61.06,T,610
000002.SZ,M,0.75,59.655,136.705,270.535,390.635,-13.155,-18.145,-20.375,-21.945,T,610
000002.SZ,M,0.9,204.21,544.13,1478.15,1747.29,-4.71,-5.51,-8.16,-9.17,T,610
000004.SZ,M,0.1,8.182,13.008,13.536,17.968,-55.966,-70.902,-73.452,-75.284,B,610
000004.SZ,M,0.25,18.14,40.415,56.055,84.43,-43.08,-56.345,-58.4,-63.38,B,610
000004.SZ,M,0.5,66.2,99.2,124.64,281.23,-18.32,-27.18,-36.31,-45.79,B,610
000004.SZ,M,0.75,121.31,200.63,303.91,406.14,-3.095,-5.09,-9.57,-19.39,B,610
000004.SZ,M,0.9,224.638,357.08,408.916,565.504,0,0,0,0,B,610
000004.SZ,M,0.1,0,0,0,0.776,-63.916,-73.872,-77.384,-80.314,T,610
000004.SZ,M,0.25,3.09,7.64,13.06,28.03,-55.77,-67.16,-67.32,-71.95,T,610
000004.SZ,M,0.5,20.72,57.21,78.12,178.42,-36.59,-45.07,-52.03,-60.58,T,610
000004.SZ,M,0.75,90.96,192.47,249.05,325,-15.06,-21.49,-27.1,-35.82,T,610
000004.SZ,M,0.9,173.724,296.238,341.48,453.56,-4.894,-8.436,-9.398,-12.954,T,610
000005.SZ,M,0.1,0,0.693,1.022,1.022,-55.269,-68.718,-77.262,-88.061,B,610
000005.SZ,M,0.25,4.5525,5.44,9.7725,12.36,-46.285,-62.115,-70.605,-80.545,B,610
000005.SZ,M,0.5,19.635,27.89,54.765,114.905,-32.04,-50.235,-59.755,-64.235,B,610
000005.SZ,M,0.75,64.1475,282.1625,337.24,389.4225,-8.9525,-33.5275,-39.2825,-39.2825,B,610
000005.SZ,M,0.9,270.906,591.133,591.133,591.133,0,-3.1,-4.229,-19.245,B,610
000005.SZ,M,0.1,0,0,0,0,-66.368,-77.708,-82.432,-90.134,T,610
000005.SZ,M,0.25,0,0,0,5.08,-53.07,-66.44,-75.72,-82.82,T,610
000005.SZ,M,0.5,5.35,13.53,28.94,117.61,-41.08,-55.38,-64.32,-71.72,T,610
000005.SZ,M,0.75,31.95,298.49,332.32,356.31,-26.71,-41.67,-42.86,-53.37,T,610
000005.SZ,M,0.9,279.054,489.21,495.456,526.292,-4.178,-9.222,-14.294,-26.734,T,610
000006.SZ,M,0.1,2.135,5.625,14.08,22.095,-59.725,-81.505,-90.395,-93.155,B,610
000006.SZ,M,0.25,15.8575,21.8575,32.6125,41.3925,-38.275,-48.1175,-59.39,-64.8975,B,610
000006.SZ,M,0.5,38.565,65.075,129.82,138.885,-17.27,-28.17,-33.055,-42.285,B,610
000006.SZ,M,0.75,78.1825,236.775,253.6125,278.05,-5.28,-10.8125,-12.5325,-13.235,B,610
000006.SZ,M,0.9,243.795,459.43,559.49,567.975,0,-0.775,-1.55,-2.655,B,610
000006.SZ,M,0.1,0,0,0,0.882,-67.488,-82.997,-91.378,-94.275,T,610
000006.SZ,M,0.25,0.2925,4.295,11.5625,28.685,-46.8625,-54.02,-67.49,-69.0125,T,610
000006.SZ,M,0.5,19.1,54.48,107.075,108.62,-30.36,-35.785,-40.59,-49.18,T,610
000006.SZ,M,0.75,68.6275,180.405,222.45,286.9225,-16.7975,-20.3025,-22.8975,-25.41,T,610
000006.SZ,M,0.9,221.373,474.922,566.62,566.62,-4.137,-6.112,-6.112,-6.523,T,610
000007.SZ,M,0.1,2.427,10.582,26.214,36.148,-59.98,-71.008,-77.298,-79.139,B,610
000007.SZ,M,0.25,18.015,43.295,57.81,64.6675,-48.8125,-60.48,-63.2975,-71.435,B,610
000007.SZ,M,0.5,44.4,84.305,106.265,120.785,-23.11,-26.63,-37.27,-53.51,B,610
000007.SZ,M,0.75,95.7975,153.7075,194.38,235.395,-1.41,-8.2775,-13.7225,-19.685,B,610
000007.SZ,M,0.9,169.507,365.533,365.533,541.365,0,0,0,-0.116,B,610
000007.SZ,M,0.1,0,0,0,0,-64.24,-78.065,-83.285,-84.71,T,610
000007.SZ,M,0.25,0.0875,6.9,25.4725,27.535,-58.6025,-67.2775,-69.54,-79.5375,T,610
000007.SZ,M,0.5,22.885,42.985,68.465,83.785,-33.245,-42.26,-46.315,-63.085,T,610
000007.SZ,M,0.75,55.94,97.755,138.6875,161.75,-19.6125,-20.955,-25.3475,-33.89,T,610
000007.SZ,M,0.9,147.595,300.455,307.57,450.01,-4.935,-4.935,-6.365,-8.88,T,610
000008.SZ,M,0.1,3.19,3.19,3.31,3.358,-68.65,-85.604,-87.974,-88.102,B,610
000008.SZ,M,0.25,8.73,17.1,17.1,19.06,-46.04,-64.18,-75.57,-81.54,B,610
000008.SZ,M,0.5,34.88,60.03,66.36,75.06,-19.85,-37.25,-38.99,-55.94,B,610
000008.SZ,M,0.75,97.39,210.96,266.93,560.31,-5.01,-10.66,-11.58,-18.22,B,610
000008.SZ,M,0.9,246.36,822.644,1077.936,1423.792,0,0,-0.108,-2.448,B,610
000008.SZ,M,0.1,0,0,0,0,-73.64,-88.816,-90.676,-90.676,T,610
000008.SZ,M,0.25,0.91,5.75,5.75,6.015,-46.505,-68.265,-76.785,-83.18,T,610
000008.SZ,M,0.5,16.94,30.67,36.57,39.98,-21.58,-39.97,-40.8,-54.69,T,610
000008.SZ,M,0.75,95.085,189.74,355.705,542.14,-14.4,-16.76,-18.22,-19.955,T,610
000008.SZ,M,0.9,251,680.378,927.442,1270.34,-5.558,-8.278,-11.314,-11.846,T,610
000009.SZ,M,0.1,3.948,10.196,13.316,15.66,-56.648,-66.884,-71.206,-72.64,B,610
000009.SZ,M,0.25,12.44,20.68,41.66,69.905,-44.705,-56.955,-60.215,-64.015,B,610
000009.SZ,M,0.5,42.77,103.91,137.99,230.51,-26.07,-35.81,-39.53,-45.36,B,610
000009.SZ,M,0.75,126,262.44,273.72,408.775,-5.81,-13.12,-16.98,-23.385,B,610
000009.SZ,M,0.9,267.264,493.136,518.448,603.526,0,0,-0.342,-2.196,B,610
000009.SZ,M,0.1,0,0,0,2.734,-63.766,-72.317,-77.843,-78.942,T,610
000009.SZ,M,0.25,0,6.3425,19.0125,49.085,-56.2825,-63.34,-68.04,-70.315,T,610
000009.SZ,M,0.5,15.325,60.615,112.55,172.09,-35.8,-49.18,-56.225,-57.635,T,610
000009.SZ,M,0.75,89.2775,182.655,227.98,394.8225,-18.33,-21.755,-30.225,-33.935,T,610
000009.SZ,M,0.9,227.655,341.964,426.343,528.442,-6.103,-7.737,-14.982,-17.614,T,610
000010.SZ,M,0.1,3.117,3.442,3.442,3.442,-58.306,-79.388,-93.065,-94.061,B,610
000010.SZ,M,0.25,9.99,14.4425,14.4425,14.4425,-41.405,-59.885,-63.8825,-91.52,B,610
000010.SZ,M,0.5,37.305,43.52,43.52,43.785,-23.735,-36.03,-51.925,-63.27,B,610
000010.SZ,M,0.75,79.45,119.775,126.705,141.06,-4.025,-12.675,-25.085,-47.82,B,610
000010.SZ,M,0.9,226.029,286.801,410.643,629.44,0,0,0,0,B,610
000010.SZ,M,0.1,0,0,0,0,-73.186,-84.884,-93.28,-94.522,T,610
000010.SZ,M,0.25,2.5525,4.195,4.4975,6.535,-50.6175,-66.285,-71.05,-91.845,T,610
000010.SZ,M,0.5,16.495,24.125,26.005,34.995,-32.15,-38.205,-54.665,-65.485,T,610
000010.SZ,M,0.75,58.7125,97.08,124.4075,166.2825,-13.195,-19.765,-32.1475,-51.0675,T,610
000010.SZ,M,0.9,151.606,218.158,263.475,583.433,-0.927,-10.502,-11.379,-14.623,T,610
000011.SZ,M,0.1,3.142,7.534,12.63,20.364,-54.086,-65.824,-67.984,-68.998,B,610
000011.SZ,M,0.25,16.415,28.91,58.675,67.86,-36.815,-45.935,-48.365,-52.875,B,610
000011.SZ,M,0.5,38.02,99.53,129.22,146.2,-16.14,-28.94,-34.36,-36.72,B,610
000011.SZ,M,0.75,96.56,201.855,210.78,237.95,-0.325,-8.11,-15.275,-16.57,B,610
000011.SZ,M,0.9,177.318,233.894,277.67,344.18,0,0,0,-1.08,B,610
000011.SZ,M,0.1,0,0.027,0.715,3.532,-60.386,-71.876,-73.46,-76.614,T,610
000011.SZ,M,0.25,1.055,14.5525,28.0625,31.95,-43.66,-54.7125,-55.615,-59.5475,T,610
000011.SZ,M,0.5,22.165,55.565,75.805,107.415,-29.07,-34.3,-41.585,-42.375,T,610
000011.SZ,M,0.75,70.455,147.5475,170.7125,213.5875,-14.5725,-18.0675,-23.98,-24.57,T,610
000011.SZ,M,0.9,175.665,205.112,214.493,301.825,-6.564,-11.697,-14.005,-14.581,T,610
000012.SZ,M,0.1,2.279,6.399,8.972,8.972,-58.225,-65.64,-67.719,-78.398,B,610
000012.SZ,M,0.25,12.065,37.85,78.22,83.085,-39.48,-50.8525,-54.7025,-56.3075,B,610
000012.SZ,M,0.5,45.35,130.34,148.425,165,-19.23,-27.35,-36.545,-37.99,B,610
000012.SZ,M,0.75,122.585,283.695,324.0625,436.61,-3.1,-9.74,-13.5925,-15.9125,B,610
000012.SZ,M,0.9,303.155,441.397,516.463,858.724,0,0,0,-0.12,B,610
000012.SZ,M,0.1,0,0,0,0,-65.284,-66.804,-73.916,-79.804,T,610
000012.SZ,M,0.25,0.9875,6.65,42.22,58.9225,-48.6775,-60.9875,-65.455,-65.7375,T,610
000012.SZ,M,0.5,12.185,96.41,109.23,145.94,-27.425,-45.06,-47.66,-48.975,T,610
000012.SZ,M,0.75,89.1325,188.9075,279.71,349.415,-19.3125,-23.1875,-24.77,-29.47,T,610
000012.SZ,M,0.9,285.678,322.85,460.315,784.001,-10.744,-12.167,-14.128,-14.128,T,610
000014.SZ,M,0.1,3.817,4.744,18.597,22.059,-53.935,-62.698,-65.052,-76.191,B,610
000014.SZ,M,0.25,28.3975,37.55,50.125,58.29,-40.34,-52.385,-57.855,-60.255,B,610
000014.SZ,M,0.5,52.965,84.59,102.255,138.695,-16.8,-26.005,-30.34,-36.32,B,610
000014.SZ,M,0.75,104.5725,159.4925,205.94,251.69,-2.515,-8.0475,-9.8925,-16.03,B,610
000014.SZ,M,0.9,215.711,277.348,435.49,441.373,0,0,0,0,B,610
000014.SZ,M,0.1,0,0,0,1.388,-64.216,-70.154,-72.272,-79.488,T,610
000014.SZ,M,0.25,3.01,11.52,13.22,24.46,-46.57,-57.38,-63.81,-68.95,T,610
000014.SZ,M,0.5,31.97,55.31,83.97,93.69,-27.21,-35.13,-37.23,-48.51,T,610
000014.SZ,M,0.75,70.67,140.35,164.17,209.25,-14.42,-18.51,-19.27,-25.35,T,610
