ts_code,freq,quantile,pct_gain_1p,pct_gain_2p,pct_gain_3p,pct_gain_5p,pct_loss_1p,pct_loss_2p,pct_loss_3p,pct_loss_5p,top_or_bottom,period
000001.SH,W,0.1,0.639,1.798,2.55,3.859,-22.334,-28.296,-35.148,-40.435,B,144
000001.SH,W,0.25,3.37,5.5025,6.66,8.255,-13.09,-18.455,-20.525,-24.96,B,144
000001.SH,W,0.5,7.48,13.16,16.43,20.685,-5.68,-8.755,-11.125,-15.305,B,144
000001.SH,W,0.75,18.4575,30.6225,42.46,70.5825,-0.7025,-1.8325,-3.39,-6.7075,B,144
000001.SH,W,0.9,47.808,77.21,115.241,151.198,0,0,0,-0.104,B,144
000001.SH,W,0.1,0,0,0,0.036,-27.212,-36.304,-39.532,-44.412,T,144
000001.SH,W,0.25,0.45,2.2,3.61,5.47,-14.76,-21.21,-23.95,-26.8,T,144
000001.SH,W,0.5,4.32,8.33,12.82,17.51,-8.55,-11.91,-13.95,-17.74,T,144
000001.SH,W,0.75,12.11,21.81,27.93,41.01,-4.17,-5.26,-6.66,-8.76,T,144
000001.SH,W,0.9,33.738,57.97,74.006,124.344,-1.61,-1.862,-2.482,-4.24,T,144
000001.SZ,W,0.1,1.252,2.137,2.878,3.969,-25.903,-36.066,-44.738,-58.818,B,144
000001.SZ,W,0.25,3.9975,5.8575,7.94,14.7475,-18.1375,-26.1925,-32.2975,-42.3075,B,144
000001.SZ,W,0.5,12.12,20.24,28.885,47.4,-8.79,-15.08,-18.785,-22.855,B,144
000001.SZ,W,0.75,28.255,56.475,72.625,99.2475,-1.06,-4.27,-5.445,-8.06,B,144
000001.SZ,W,0.9,56.48,102.254,171.386,284.239,0,0,0,-0.021,B,144
000001.SZ,W,0.1,0,0,0,0,-31.584,-43.48,-48.172,-60.486,T,144
000001.SZ,W,0.25,0.34,1.72,3.285,7.795,-23.965,-33.145,-37.32,-47.195,T,144
000001.SZ,W,0.5,5.92,11.85,22.61,36.19,-13.85,-19.74,-24.15,-26.78,T,144
000001.SZ,W,0.75,21.415,47.73,63.335,86.52,-5.645,-8.76,-9.2,-13.015,T,144
000001.SZ,W,0.9,47.872,101.422,152.636,205.74,-0.962,-2.436,-2.63,-3.758,T,144
000002.SZ,W,0.1,1.81,4.265,5.166,7.357,-27.542,-38.153,-51.967,-62.213,B,144
000002.SZ,W,0.25,7.1675,10.865,14.06,21.64,-17.555,-26.495,-34.1425,-41.755,B,144
000002.SZ,W,0.5,16.285,26.38,36.64,51.16,-9.135,-14.275,-17.55,-22.78,B,144
000002.SZ,W,0.75,39.7975,64.25,88.13,119.21,-0.9625,-3.3325,-4.44,-8.5175,B,144
000002.SZ,W,0.9,70.572,129.27,153.178,319.933,0,0,0,0,B,144
000002.SZ,W,0.1,0,0,0,0,-33.808,-45.681,-57.153,-64.954,T,144
000002.SZ,W,0.25,0,2.8325,4.9375,9.7975,-24.4225,-32.3425,-37.99,-47.34,T,144
000002.SZ,W,0.5,9.78,18.795,22.1,38.695,-13.94,-19.18,-23.21,-30.11,T,144
000002.SZ,W,0.75,27.545,49.2325,65.765,93.7425,-6.4625,-8.725,-10.495,-13.3,T,144
000002.SZ,W,0.9,69.341,118.419,153.469,261.298,-1.817,-2.411,-2.919,-4.7,T,144
000004.SZ,W,0.1,1.415,2.67,3.366,4.068,-33.09,-46.658,-55.251,-64.111,B,144
000004.SZ,W,0.25,8.5675,12.6125,15.7775,19.0725,-21.87,-34.2425,-43.345,-53.7075,B,144
000004.SZ,W,0.5,21.085,31.97,42.865,76.54,-11.03,-18.245,-22.805,-29.03,B,144
000004.SZ,W,0.75,47.74,83.0325,102.885,147.0725,-1.3025,-4.3475,-5.725,-9.9925,B,144
000004.SZ,W,0.9,92.5,132.207,177.621,274.905,0,0,0,0,B,144
000004.SZ,W,0.1,0,0,0,0,-41.824,-49.584,-55.936,-64.036,T,144
000004.SZ,W,0.25,1.31,6.555,8.175,13.06,-29.53,-40.05,-46.945,-56.515,T,144
000004.SZ,W,0.5,12.99,21.74,33.16,61.56,-16.55,-26.63,-30.09,-33.83,T,144
000004.SZ,W,0.75,33.205,68.955,91.145,130.415,-7.215,-10.6,-12.155,-15.095,T,144
000004.SZ,W,0.9,72.974,110.31,166.466,255.004,-1.218,-3,-3.492,-4.548,T,144
000005.SZ,W,0.1,0.89,1.68,2.15,2.46,-32.81,-48.25,-57.06,-63.68,B,144
000005.SZ,W,0.25,4.09,5.465,5.87,8.565,-22.2,-35.45,-43.655,-53.82,B,144
000005.SZ,W,0.5,11.36,16.91,20.12,30.94,-11.58,-20.89,-26.09,-39.15,B,144
000005.SZ,W,0.75,29.67,46.86,61.005,90.03,-3.31,-6.39,-9.715,-17.805,B,144
