level,index_code,industry_code,industry_name,regime,reason,suggested_regime
L1,801010.SI,110000,农林牧渔,balanced,sw_l1_inherit:sw_l1_default_balanced,balanced
L1,801030.SI,220000,基础化工,cyclical_resource,sw_L1_prefix=80103,cyclical_resource
L1,801040.SI,230000,钢铁,cyclical_resource,sw_L1_prefix=80104,cyclical_resource
L1,801050.SI,240000,有色金属,cyclical_resource,sw_L1_prefix=80105,cyclical_resource
L1,801080.SI,270000,电子,high_growth,sw_L1_prefix=80108,high_growth
L1,801880.SI,280000,汽车,stable_value,sw_L1_prefix=80188,stable_value
L1,801110.SI,330000,家用电器,cyclical_resource,sw_L1_prefix=80111,balanced
L1,801120.SI,340000,食品饮料,cyclical_resource,sw_L1_prefix=80112,stable_value
L1,801130.SI,350000,纺织服饰,balanced,sw_l1_inherit:sw_l1_default_balanced,balanced
L1,801140.SI,360000,轻工制造,balanced,sw_l1_inherit:sw_l1_default_balanced,balanced
L1,801150.SI,370000,医药生物,high_growth,sw_L1_keyword=生物,high_growth
L1,801160.SI,410000,公用事业,stable_value,sw_L1_keyword=公用,stable_value
L1,801170.SI,420000,交通运输,cyclical_resource,sw_L1_prefix=80117,balanced
L1,801180.SI,430000,房地产,cyclical_resource,sw_L1_prefix=80118,cyclical_resource
L1,801200.SI,450000,商贸零售,cyclical_resource,sw_L1_prefix=80120,balanced
L1,801210.SI,460000,社会服务,cyclical_resource,sw_L1_prefix=80121,balanced
L1,801780.SI,480000,银行,stable_value,sw_L1_prefix=80178,stable_value
L1,801790.SI,490000,非银金融,stable_value,sw_L1_prefix=80179,stable_value
L1,801230.SI,510000,综合,balanced,sw_l1_inherit:sw_l1_default_balanced,balanced
L1,801710.SI,610000,建筑材料,balanced,sw_l1_inherit:sw_l1_default_balanced,balanced
L1,801720.SI,620000,建筑装饰,balanced,sw_l1_inherit:sw_l1_default_balanced,balanced
L1,801730.SI,630000,电力设备,stable_value,sw_L1_keyword=电力,balanced
L1,801890.SI,640000,机械设备,balanced,sw_l1_inherit:sw_l1_default_balanced,balanced
L1,801740.SI,650000,国防军工,balanced,sw_l1_inherit:sw_l1_default_balanced,balanced
L1,801750.SI,710000,计算机,high_growth,sw_L1_prefix=80175,high_growth
