ts_code,stock_name,industry_table_name,sw_l3_code,sw_l3_name,market,exchange,list_status,asset
430017.BJ,星昊医药,化学制药,,,北交所,BSE,L,E
430047.BJ,诺思兰德,生物制药,,,北交所,BSE,L,E
430090.BJ,同辉信息,IT设备,,,北交所,BSE,L,E
430139.BJ,华岭股份,半导体,,,北交所,BSE,L,E
430198.BJ,微创光电,IT设备,,,北交所,BSE,L,E
430300.BJ,辰光医疗,医疗保健,,,北交所,BSE,L,E
430418.BJ,苏轴股份,汽车配件,,,北交所,BSE,L,E
430425.BJ,乐创技术,专用机械,,,北交所,BSE,L,E
430476.BJ,海能技术,电器仪表,,,北交所,BSE,L,E
430478.BJ,峆一药业,化学制药,,,北交所,BSE,L,E
430510.BJ,丰光精密,机械基件,,,北交所,BSE,L,E
430556.BJ,雅达股份,电器仪表,,,北交所,BSE,L,E
430564.BJ,天润科技,软件服务,,,北交所,BSE,L,E
430685.BJ,新芝生物,电器仪表,,,北交所,BSE,L,E
430718.BJ,合肥高科,家用电器,,,北交所,BSE,L,E
830779.BJ,武汉蓝电,电器仪表,,,北交所,BSE,L,E
830809.BJ,安达科技,电气设备,,,北交所,BSE,L,E
830832.BJ,齐鲁华信,化工原料,,,北交所,BSE,L,E
830839.BJ,万通液压,工程机械,,,北交所,BSE,L,E
830879.BJ,基康技术,电器仪表,,,北交所,BSE,L,E
830896.BJ,旺成科技,汽车配件,,,北交所,BSE,L,E
830946.BJ,森萱医药,化学制药,,,北交所,BSE,L,E
830964.BJ,润农节水,建筑工程,,,北交所,BSE,L,E
830974.BJ,凯大催化,化工原料,,,北交所,BSE,L,E
831010.BJ,凯添燃气,供气供热,,,北交所,BSE,L,E
831039.BJ,国义招标,建筑工程,,,北交所,BSE,L,E
831087.BJ,秋乐种业,种植业,,,北交所,BSE,L,E
831152.BJ,昆工科技,小金属,,,北交所,BSE,L,E
831167.BJ,鑫汇科,元器件,,,北交所,BSE,L,E
831175.BJ,派诺科技,电气设备,,,北交所,BSE,L,E
831195.BJ,三祥科技,汽车配件,,,北交所,BSE,L,E
831278.BJ,泰德股份,汽车配件,,,北交所,BSE,L,E
831304.BJ,迪尔化工,化工原料,,,北交所,BSE,L,E
831305.BJ,海希通讯,电器仪表,,,北交所,BSE,L,E
831370.BJ,新安洁,环境保护,,,北交所,BSE,L,E
831396.BJ,许昌智能,电气设备,,,北交所,BSE,L,E
831526.BJ,凯华材料,化工原料,,,北交所,BSE,L,E
831627.BJ,力王股份,电气设备,,,北交所,BSE,L,E
831641.BJ,格利尔,矿物制品,,,北交所,BSE,L,E
831689.BJ,克莱特,专用机械,,,北交所,BSE,L,E
831726.BJ,朱老六,食品,,,北交所,BSE,L,E
831768.BJ,拾比佰,家用电器,,,北交所,BSE,L,E
831832.BJ,科达自控,软件服务,,,北交所,BSE,L,E
831834.BJ,三维装备,塑料,,,北交所,BSE,L,E
831855.BJ,浙江大农,机床制造,,,北交所,BSE,L,E
831856.BJ,浩淼科技,专用机械,,,北交所,BSE,L,E
831906.BJ,舜宇精工,汽车配件,,,北交所,BSE,L,E
831961.BJ,创远信科,电器仪表,,,北交所,BSE,L,E
832000.BJ,安徽凤凰,汽车配件,,,北交所,BSE,L,E
832023.BJ,田野股份,食品,,,北交所,BSE,L,E
832089.BJ,禾昌聚合,塑料,,,北交所,BSE,L,E
832110.BJ,雷特科技,电气设备,,,北交所,BSE,L,E
832145.BJ,恒合股份,环境保护,,,北交所,BSE,L,E
832149.BJ,利尔达,元器件,,,北交所,BSE,L,E
832171.BJ,志晟信息,软件服务,,,北交所,BSE,L,E
832175.BJ,东方碳素,化工原料,,,北交所,BSE,L,E
832225.BJ,利通科技,橡胶,,,北交所,BSE,L,E
832278.BJ,鹿得医疗,医疗保健,,,北交所,BSE,L,E
832419.BJ,路斯股份,饲料,,,北交所,BSE,L,E
832469.BJ,富恒新材,塑料,,,北交所,BSE,L,E
832471.BJ,美邦科技,化工原料,,,北交所,BSE,L,E
832491.BJ,奥迪威,元器件,,,北交所,BSE,L,E
832522.BJ,纳科诺尔,专用机械,,,北交所,BSE,L,E
832566.BJ,梓橦宫,化学制药,,,北交所,BSE,L,E
832651.BJ,天罡股份,电器仪表,,,北交所,BSE,L,E
832662.BJ,方盛股份,机械基件,,,北交所,BSE,L,E
832735.BJ,德源药业,化学制药,,,北交所,BSE,L,E
832786.BJ,骑士乳业,乳制品,,,北交所,BSE,L,E
832802.BJ,保丽洁,环境保护,,,北交所,BSE,L,E
832876.BJ,慧为智能,元器件,,,北交所,BSE,L,E
832885.BJ,星辰科技,电器仪表,,,北交所,BSE,L,E
832978.BJ,开特股份,汽车配件,,,北交所,BSE,L,E
832982.BJ,锦波生物,医疗保健,,,北交所,BSE,L,E
833030.BJ,立方控股,软件服务,,,北交所,BSE,L,E
833075.BJ,柏星龙,广告包装,,,北交所,BSE,L,E
833171.BJ,国航远洋,水运,,,北交所,BSE,L,E
833230.BJ,欧康医药,生物制药,,,北交所,BSE,L,E
833266.BJ,生物谷,中成药,,,北交所,BSE,L,E
833284.BJ,灵鸽科技,专用机械,,,北交所,BSE,L,E
833346.BJ,威贸电子,元器件,,,北交所,BSE,L,E
833394.BJ,民士达,造纸,,,北交所,BSE,L,E
833427.BJ,华维设计,建筑工程,,,北交所,BSE,L,E
833429.BJ,康比特,食品,,,北交所,BSE,L,E
833454.BJ,同心传动,汽车配件,,,北交所,BSE,L,E
833455.BJ,汇隆活塞,专用机械,,,北交所,BSE,L,E
833509.BJ,同惠电子,电器仪表,,,北交所,BSE,L,E
833523.BJ,德瑞锂电,电气设备,,,北交所,BSE,L,E
833533.BJ,骏创科技,汽车配件,,,北交所,BSE,L,E
833575.BJ,康乐卫士,生物制药,,,北交所,BSE,L,E
833580.BJ,科创新材,其他建材,,,北交所,BSE,L,E
833751.BJ,惠同新材,小金属,,,北交所,BSE,L,E
833781.BJ,瑞奇智造,专用机械,,,北交所,BSE,L,E
833873.BJ,中设咨询,建筑工程,,,北交所,BSE,L,E
833914.BJ,远航精密,小金属,,,北交所,BSE,L,E
833943.BJ,优机股份,机械基件,,,北交所,BSE,L,E
834014.BJ,特瑞斯,专用机械,,,北交所,BSE,L,E
834021.BJ,流金科技,影视音像,,,北交所,BSE,L,E
834033.BJ,康普化学,化工原料,,,北交所,BSE,L,E
834058.BJ,华洋赛车,摩托车,,,北交所,BSE,L,E
834062.BJ,科润智控,电气设备,,,北交所,BSE,L,E
834261.BJ,一诺威,化工原料,,,北交所,BSE,L,E
834407.BJ,驰诚股份,电器仪表,,,北交所,BSE,L,E
834415.BJ,恒拓开源,软件服务,,,北交所,BSE,L,E
834475.BJ,三友科技,专用机械,,,北交所,BSE,L,E
834599.BJ,同力股份,工程机械,,,北交所,BSE,L,E
834639.BJ,晨光电缆,电气设备,,,北交所,BSE,L,E
834765.BJ,美之高,家居用品,,,北交所,BSE,L,E
834770.BJ,艾能聚,电气设备,,,北交所,BSE,L,E
834950.BJ,迅安科技,元器件,,,北交所,BSE,L,E
835174.BJ,五新隧装,工程机械,,,北交所,BSE,L,E
835179.BJ,凯德石英,矿物制品,,,北交所,BSE,L,E
835184.BJ,国源科技,软件服务,,,北交所,BSE,L,E
835185.BJ,贝特瑞,化工原料,,,北交所,BSE,L,E
835207.BJ,众诚科技,软件服务,,,北交所,BSE,L,E
835237.BJ,力佳科技,电气设备,,,北交所,BSE,L,E
835305.BJ,*ST云创,软件服务,,,北交所,BSE,L,E
835368.BJ,连城数控,专用机械,,,北交所,BSE,L,E
835438.BJ,戈碧迦,元器件,,,北交所,BSE,L,E
835508.BJ,殷图网联,电气设备,,,北交所,BSE,L,E
835579.BJ,机科股份,机械基件,,,北交所,BSE,L,E
835640.BJ,富士达,通信设备,,,北交所,BSE,L,E
835670.BJ,数字人,软件服务,,,北交所,BSE,L,E
835857.BJ,百甲科技,钢加工,,,北交所,BSE,L,E
835892.BJ,中科美菱,医疗保健,,,北交所,BSE,L,E
835985.BJ,海泰新能,电气设备,,,北交所,BSE,L,E
836077.BJ,吉林碳谷,化纤,,,北交所,BSE,L,E
836149.BJ,旭杰科技,建筑工程,,,北交所,BSE,L,E
836208.BJ,青矩技术,建筑工程,,,北交所,BSE,L,E
836221.BJ,易实精密,汽车配件,,,北交所,BSE,L,E
836239.BJ,长虹能源,电气设备,,,北交所,BSE,L,E
836247.BJ,华密新材,橡胶,,,北交所,BSE,L,E
836260.BJ,中寰股份,专用机械,,,北交所,BSE,L,E
836263.BJ,中航泰达,环境保护,,,北交所,BSE,L,E
836270.BJ,天铭科技,汽车配件,,,北交所,BSE,L,E
836395.BJ,朗鸿科技,IT设备,,,北交所,BSE,L,E
836414.BJ,欧普泰,电器仪表,,,北交所,BSE,L,E
836419.BJ,万德股份,化工原料,,,北交所,BSE,L,E
836422.BJ,润普食品,食品,,,北交所,BSE,L,E
836433.BJ,大唐药业,中成药,,,北交所,BSE,L,E
836504.BJ,博迅生物,医疗保健,,,北交所,BSE,L,E
836547.BJ,无锡晶海,化学制药,,,北交所,BSE,L,E
836675.BJ,秉扬科技,矿物制品,,,北交所,BSE,L,E
836699.BJ,海达尔,家用电器,,,北交所,BSE,L,E
836717.BJ,瑞星股份,专用机械,,,北交所,BSE,L,E
836720.BJ,吉冈精密,机械基件,,,北交所,BSE,L,E
836807.BJ,奔朗新材,机械基件,,,北交所,BSE,L,E
836826.BJ,盖世食品,食品,,,北交所,BSE,L,E
836871.BJ,派特尔,塑料,,,北交所,BSE,L,E
836892.BJ,广咨国际,建筑工程,,,北交所,BSE,L,E
836942.BJ,恒立钻具,机械基件,,,北交所,BSE,L,E
836957.BJ,汉维科技,化工原料,,,北交所,BSE,L,E
836961.BJ,西磁科技,专用机械,,,北交所,BSE,L,E
837006.BJ,晟楠科技,航空,,,北交所,BSE,L,E
837023.BJ,芭薇股份,日用化工,,,北交所,BSE,L,E
837046.BJ,亿能电力,电气设备,,,北交所,BSE,L,E
837092.BJ,汉鑫科技,软件服务,,,北交所,BSE,L,E
837174.BJ,宏裕包材,广告包装,,,北交所,BSE,L,E
837212.BJ,智新电子,元器件,,,北交所,BSE,L,E
837242.BJ,建邦科技,汽车配件,,,北交所,BSE,L,E
837344.BJ,三元基因,生物制药,,,北交所,BSE,L,E
837403.BJ,康农种业,种植业,,,北交所,BSE,L,E
837592.BJ,华信永道,软件服务,,,北交所,BSE,L,E
837663.BJ,明阳科技,汽车配件,,,北交所,BSE,L,E
837748.BJ,路桥信息,软件服务,,,北交所,BSE,L,E
837821.BJ,则成电子,元器件,,,北交所,BSE,L,E
838030.BJ,德众汽车,汽车服务,,,北交所,BSE,L,E
838163.BJ,方大新材,塑料,,,北交所,BSE,L,E
838171.BJ,邦德股份,汽车配件,,,北交所,BSE,L,E
838227.BJ,美登科技,软件服务,,,北交所,BSE,L,E
838262.BJ,太湖雪,纺织,,,北交所,BSE,L,E
838275.BJ,驱动力,农业综合,,,北交所,BSE,L,E
838402.BJ,硅烷科技,化工原料,,,北交所,BSE,L,E
838670.BJ,恒进感应,机床制造,,,北交所,BSE,L,E
838701.BJ,豪声电子,元器件,,,北交所,BSE,L,E
838810.BJ,春光智能,专用机械,,,北交所,BSE,L,E
838837.BJ,华原股份,汽车配件,,,北交所,BSE,L,E
838924.BJ,广脉科技,通信设备,,,北交所,BSE,L,E
838971.BJ,天马新材,化工原料,,,北交所,BSE,L,E
839273.BJ,一致魔芋,食品,,,北交所,BSE,L,E
839371.BJ,欧福蛋业,食品,,,北交所,BSE,L,E
839493.BJ,并行科技,软件服务,,,北交所,BSE,L,E
839680.BJ,*ST广道,软件服务,,,北交所,BSE,L,E
839719.BJ,宁新新材,化工原料,,,北交所,BSE,L,E
839725.BJ,惠丰钻石,矿物制品,,,北交所,BSE,L,E
839729.BJ,永顺生物,农业综合,,,北交所,BSE,L,E
839790.BJ,联迪信息,软件服务,,,北交所,BSE,L,E
839792.BJ,东和新材,其他建材,,,北交所,BSE,L,E
839946.BJ,华阳变速,汽车配件,,,北交所,BSE,L,E
870199.BJ,倍益康,家用电器,,,北交所,BSE,L,E
870204.BJ,沪江材料,塑料,,,北交所,BSE,L,E
870299.BJ,灿能电力,电气设备,,,北交所,BSE,L,E
870357.BJ,雅葆轩,元器件,,,北交所,BSE,L,E
870436.BJ,大地电气,汽车配件,,,北交所,BSE,L,E
870508.BJ,丰安股份,机械基件,,,北交所,BSE,L,E
870656.BJ,海昇药业,化学制药,,,北交所,BSE,L,E
870726.BJ,鸿智科技,家用电器,,,北交所,BSE,L,E
870866.BJ,绿亨科技,农药化肥,,,北交所,BSE,L,E
870976.BJ,视声智能,通信设备,,,北交所,BSE,L,E
871245.BJ,威博液压,机械基件,,,北交所,BSE,L,E
871263.BJ,莱赛激光,电器仪表,,,北交所,BSE,L,E
871396.BJ,常辅股份,电器仪表,,,北交所,BSE,L,E
871478.BJ,巨能股份,专用机械,,,北交所,BSE,L,E
871553.BJ,凯腾精工,专用机械,,,北交所,BSE,L,E
871634.BJ,新威凌,铅锌,,,北交所,BSE,L,E
871642.BJ,通易航天,航空,,,北交所,BSE,L,E
871694.BJ,中裕科技,塑料,,,北交所,BSE,L,E
871753.BJ,天纺标,纺织,,,北交所,BSE,L,E
871857.BJ,泓禧科技,元器件,,,北交所,BSE,L,E
871970.BJ,大禹生物,饲料,,,北交所,BSE,L,E
871981.BJ,晶赛科技,元器件,,,北交所,BSE,L,E
872190.BJ,雷神科技,IT设备,,,北交所,BSE,L,E
872351.BJ,华光源海,仓储物流,,,北交所,BSE,L,E
872374.BJ,云里物里,通信设备,,,北交所,BSE,L,E
872392.BJ,佳合科技,广告包装,,,北交所,BSE,L,E
872541.BJ,铁大科技,运输设备,,,北交所,BSE,L,E
872808.BJ,曙光数创,IT设备,,,北交所,BSE,L,E
872895.BJ,花溪科技,农用机械,,,北交所,BSE,L,E
872925.BJ,锦好医疗,医疗保健,,,北交所,BSE,L,E
872931.BJ,无锡鼎邦,化工机械,,,北交所,BSE,L,E
872953.BJ,国子软件,软件服务,,,北交所,BSE,L,E
873001.BJ,纬达光电,元器件,,,北交所,BSE,L,E
873122.BJ,中纺标,综合类,,,北交所,BSE,L,E
873132.BJ,泰鹏智能,家居用品,,,北交所,BSE,L,E
873152.BJ,天宏锂电,电气设备,,,北交所,BSE,L,E
873167.BJ,新赣江,化学制药,,,北交所,BSE,L,E
873169.BJ,七丰精工,机械基件,,,北交所,BSE,L,E
873223.BJ,荣亿精密,机械基件,,,北交所,BSE,L,E
873305.BJ,九菱科技,机械基件,,,北交所,BSE,L,E
873339.BJ,恒太照明,家用电器,,,北交所,BSE,L,E
873527.BJ,夜光明,化工原料,,,北交所,BSE,L,E
873570.BJ,坤博精工,机械基件,,,北交所,BSE,L,E
873576.BJ,天力复合,小金属,,,北交所,BSE,L,E
873593.BJ,鼎智科技,机械基件,,,北交所,BSE,L,E
873665.BJ,科强股份,橡胶,,,北交所,BSE,L,E
