ts_code,removed
000001.SZ,FALSE
000001.SZ,TRUE
000002.SZ,TRUE
600200.SH,TRUE
300827.SZ,FALSE
301035.SZ,TRUE
301259.SZ,FALSE
600498.SH,TRUE
603596.SH,TRUE
688279.SH,FALSE
688628.SH,TRUE
688685.SH,TRUE
002159.SZ,TRUE
002938.SZ,FALSE
300570.SZ,FALSE
300679.SZ,TRUE
301080.SZ,TRUE
688187.SH,TRUE
688234.SH,FALSE
002821.SZ,TRUE
002891.SZ,FALSE
300896.SZ,FALSE
000518.SZ,TRUE
600563.SH,FALSE
600933.SH,TRUE
002247.SZ,TRUE
688375.SH,TRUE
000425.SZ,TRUE
601965.SH,TRUE
001225.SZ,TRUE
002309.SZ,TRUE
002520.SZ,TRUE
002630.SZ,TRUE
002825.SZ,TRUE
300783.SZ,TRUE
300789.SZ,TRUE
603488.SH,TRUE
688409.SH,FALSE
688690.SH,TRUE
300454.SZ,FALSE
300203.SZ,FALSE
002180.SZ,TRUE
300044.SZ,TRUE
002709.SZ,FALSE
002847.SZ,TRUE
002650.SZ,TRUE
002008.SZ,FALSE
300729.SZ,TRUE
300760.SZ,FALSE
688448.SH,TRUE
600378.SH,FALSE
002715.SZ,TRUE
300749.SZ,TRUE
300752.SZ,TRUE
300776.SZ,FALSE
600215.SH,TRUE
600322.SH,TRUE
600539.SH,TRUE
600610.SH,TRUE
601866.SH,TRUE
603214.SH,TRUE
603429.SH,TRUE
603897.SH,TRUE
603955.SH,TRUE
605008.SH,FALSE
688166.SH,FALSE
002809.SZ,TRUE
002040.SZ,TRUE
300892.SZ,TRUE
601998.SH,TRUE
605499.SH,FALSE
000617.SZ,TRUE
000078.SZ,TRUE
000721.SZ,TRUE
000815.SZ,TRUE
000821.SZ,TRUE
000566.SZ,TRUE
002882.SZ,TRUE
688331.SH,FALSE
688536.SH,FALSE
000564.SZ,FALSE
000981.SZ,TRUE
001209.SZ,TRUE
002094.SZ,TRUE
002537.SZ,TRUE
002566.SZ,TRUE
300132.SZ,TRUE
300368.SZ,TRUE
300530.SZ,TRUE
301079.SZ,TRUE
301228.SZ,TRUE
301322.SZ,TRUE
301428.SZ,TRUE
600032.SH,TRUE
600212.SH,TRUE
600249.SH,TRUE
600644.SH,TRUE
603390.SH,TRUE
605001.SH,TRUE
605033.SH,TRUE
688155.SH,TRUE
002755.SZ,TRUE
300434.SZ,TRUE
603607.SH,TRUE
002253.SZ,TRUE
300204.SZ,FALSE
002568.SZ,FALSE
002779.SZ,TRUE
003010.SZ,FALSE
301003.SZ,TRUE
601528.SH,TRUE
002294.SZ,FALSE
002345.SZ,FALSE
002431.SZ,TRUE
002550.SZ,TRUE
300240.SZ,TRUE
002275.SZ,FALSE
300502.SZ,FALSE
300750.SZ,FALSE
605337.SH,TRUE
301068.SZ,TRUE
301396.SZ,TRUE
603129.SH,TRUE
603238.SH,TRUE
603333.SH,TRUE
301386.SZ,TRUE
301498.SZ,FALSE
300436.SZ,FALSE
002718.SZ,TRUE
688656.SH,TRUE
600612.SH,FALSE
301190.SZ,TRUE
300927.SZ,TRUE
301277.SZ,TRUE
603356.SH,TRUE
600316.SH,FALSE
300761.SZ,TRUE
605376.SH,FALSE
002236.SZ,FALSE
601788.SH,FALSE
688318.SH,FALSE
000581.SZ,FALSE
601615.SH,FALSE
002104.SZ,FALSE
300146.SZ,FALSE
300144.SZ,FALSE
300142.SZ,FALSE
300138.SZ,FALSE
300136.SZ,FALSE
300133.SZ,FALSE
300130.SZ,FALSE
300124.SZ,FALSE
300122.SZ,FALSE
300119.SZ,FALSE
300118.SZ,FALSE
300115.SZ,FALSE
300113.SZ,FALSE
300100.SZ,FALSE
300085.SZ,FALSE
300083.SZ,FALSE
300077.SZ,FALSE
300075.SZ,FALSE
300073.SZ,FALSE
300070.SZ,FALSE
300068.SZ,FALSE
300065.SZ,FALSE
300059.SZ,FALSE
300058.SZ,FALSE
300054.SZ,FALSE
300049.SZ,FALSE
300037.SZ,FALSE
300035.SZ,FALSE
300034.SZ,FALSE
300033.SZ,FALSE
300017.SZ,FALSE
300015.SZ,FALSE
300014.SZ,FALSE
300012.SZ,FALSE
300010.SZ,FALSE
300009.SZ,FALSE
300007.SZ,FALSE
300002.SZ,FALSE
300001.SZ,FALSE
003029.SZ,FALSE
003021.SZ,FALSE
003015.SZ,FALSE
003006.SZ,FALSE
002993.SZ,FALSE
002987.SZ,FALSE
002979.SZ,FALSE
002967.SZ,FALSE
002928.SZ,FALSE
002925.SZ,FALSE
002920.SZ,FALSE
002916.SZ,FALSE
002913.SZ,FALSE
002906.SZ,FALSE
002901.SZ,FALSE
002881.SZ,FALSE
002850.SZ,FALSE
002841.SZ,FALSE
002837.SZ,FALSE
002812.SZ,FALSE
002797.SZ,FALSE
002782.SZ,FALSE
002777.SZ,FALSE
002773.SZ,FALSE
002747.SZ,FALSE
002741.SZ,FALSE
002739.SZ,FALSE
002738.SZ,FALSE
002736.SZ,FALSE
002703.SZ,FALSE
002690.SZ,FALSE
002657.SZ,FALSE
002653.SZ,FALSE
002648.SZ,FALSE
002626.SZ,FALSE
002625.SZ,FALSE
001400.SZ,FALSE
002607.SZ,FALSE
002603.SZ,FALSE
002601.SZ,FALSE
002600.SZ,FALSE
002595.SZ,FALSE
002594.SZ,FALSE
002583.SZ,FALSE
002558.SZ,FALSE
002557.SZ,FALSE
002555.SZ,FALSE
002549.SZ,FALSE
002536.SZ,FALSE
002517.SZ,FALSE
002506.SZ,FALSE
002487.SZ,FALSE
002484.SZ,FALSE
002475.SZ,FALSE
002472.SZ,FALSE
002466.SZ,FALSE
002465.SZ,FALSE
002463.SZ,FALSE
002461.SZ,FALSE
002460.SZ,FALSE
002459.SZ,FALSE
002458.SZ,FALSE
002444.SZ,FALSE
002439.SZ,FALSE
002432.SZ,FALSE
002421.SZ,FALSE
002415.SZ,FALSE
002414.SZ,FALSE
002410.SZ,FALSE
002409.SZ,FALSE
002396.SZ,FALSE
002387.SZ,FALSE
002384.SZ,FALSE
002373.SZ,FALSE
002371.SZ,FALSE
002364.SZ,FALSE
002352.SZ,FALSE
002351.SZ,FALSE
000009.SZ,FALSE
000021.SZ,FALSE
000026.SZ,FALSE
000027.SZ,FALSE
000032.SZ,FALSE
000034.SZ,FALSE
000061.SZ,FALSE
000066.SZ,FALSE
000099.SZ,FALSE
000155.SZ,FALSE
000158.SZ,FALSE
000333.SZ,FALSE
000408.SZ,FALSE
000415.SZ,FALSE
000423.SZ,FALSE
000426.SZ,FALSE
000513.SZ,FALSE
000537.SZ,FALSE
000538.SZ,FALSE
000555.SZ,FALSE
000582.SZ,FALSE
000591.SZ,FALSE
000625.SZ,FALSE
000629.SZ,FALSE
000636.SZ,FALSE
000651.SZ,FALSE
000657.SZ,FALSE
000661.SZ,FALSE
000681.SZ,FALSE
000708.SZ,FALSE
000719.SZ,FALSE
000729.SZ,FALSE
000735.SZ,FALSE
000762.SZ,FALSE
000768.SZ,FALSE
000776.SZ,FALSE
000777.SZ,FALSE
000786.SZ,FALSE
000791.SZ,FALSE
000792.SZ,FALSE
000811.SZ,FALSE
000823.SZ,FALSE
000831.SZ,FALSE
000837.SZ,FALSE
000886.SZ,FALSE
000887.SZ,FALSE
000893.SZ,FALSE
000895.SZ,FALSE
000902.SZ,FALSE
000938.SZ,FALSE
000951.SZ,FALSE
000960.SZ,FALSE
000962.SZ,FALSE
000963.SZ,FALSE
000967.SZ,FALSE
000970.SZ,FALSE
000977.SZ,FALSE
000987.SZ,FALSE
000988.SZ,FALSE
000997.SZ,FALSE
000999.SZ,FALSE
001289.SZ,FALSE
001301.SZ,FALSE
001306.SZ,FALSE
001319.SZ,FALSE
001339.SZ,FALSE
001389.SZ,FALSE
001391.SZ,FALSE
001872.SZ,FALSE
001965.SZ,FALSE
002001.SZ,FALSE
002006.SZ,FALSE
002011.SZ,FALSE
002015.SZ,FALSE
002023.SZ,FALSE
002028.SZ,FALSE
002032.SZ,FALSE
002036.SZ,FALSE
002043.SZ,FALSE
002048.SZ,FALSE
002049.SZ,FALSE
002050.SZ,FALSE
002052.SZ,FALSE
002056.SZ,FALSE
002063.SZ,FALSE
002073.SZ,FALSE
002074.SZ,FALSE
002080.SZ,FALSE
002085.SZ,FALSE
002121.SZ,FALSE
002126.SZ,FALSE
002129.SZ,FALSE
002130.SZ,FALSE
002138.SZ,FALSE
002139.SZ,FALSE
002156.SZ,FALSE
002166.SZ,FALSE
002174.SZ,FALSE
002176.SZ,FALSE
002185.SZ,FALSE
002192.SZ,FALSE
002202.SZ,FALSE
002208.SZ,FALSE
002217.SZ,FALSE
002222.SZ,FALSE
002223.SZ,FALSE
002230.SZ,FALSE
002240.SZ,FALSE
002241.SZ,FALSE
002244.SZ,FALSE
002249.SZ,FALSE
002261.SZ,FALSE
002273.SZ,FALSE
002281.SZ,FALSE
002287.SZ,FALSE
002311.SZ,FALSE
002335.SZ,FALSE
002970.SZ,FALSE
003816.SZ,FALSE
003040.SZ,FALSE
003022.SZ,FALSE
002683.SZ,FALSE
003009.SZ,FALSE
300161.SZ,FALSE
300158.SZ,FALSE
300166.SZ,FALSE
300168.SZ,FALSE
300170.SZ,FALSE
300177.SZ,FALSE
300180.SZ,FALSE
300182.SZ,FALSE
300184.SZ,FALSE
300185.SZ,FALSE
300188.SZ,FALSE
300207.SZ,FALSE
300212.SZ,FALSE
300224.SZ,FALSE
300229.SZ,FALSE
300231.SZ,FALSE
300236.SZ,FALSE
300251.SZ,FALSE
300255.SZ,FALSE
300272.SZ,FALSE
300274.SZ,FALSE
300284.SZ,FALSE
300285.SZ,FALSE
300298.SZ,FALSE
300308.SZ,FALSE
300315.SZ,FALSE
300322.SZ,FALSE
300328.SZ,FALSE
300339.SZ,FALSE
300346.SZ,FALSE
300347.SZ,FALSE
300357.SZ,FALSE
300373.SZ,FALSE
300377.SZ,FALSE
300378.SZ,FALSE
300383.SZ,FALSE
300390.SZ,FALSE
300394.SZ,FALSE
300408.SZ,FALSE
300409.SZ,FALSE
300413.SZ,FALSE
300418.SZ,FALSE
300432.SZ,FALSE
300433.SZ,FALSE
300442.SZ,FALSE
300450.SZ,FALSE
300458.SZ,FALSE
300459.SZ,FALSE
300468.SZ,FALSE
300474.SZ,FALSE
300475.SZ,FALSE
300476.SZ,FALSE
300496.SZ,FALSE
300503.SZ,FALSE
689009.SH,FALSE
688981.SH,FALSE
688798.SH,FALSE
688787.SH,FALSE
688778.SH,FALSE
688777.SH,FALSE
688775.SH,FALSE
688772.SH,FALSE
688766.SH,FALSE
688757.SH,FALSE
688729.SH,FALSE
688728.SH,FALSE
688726.SH,FALSE
688716.SH,FALSE
688709.SH,FALSE
688702.SH,FALSE
688700.SH,FALSE
688692.SH,FALSE
688691.SH,FALSE
688686.SH,FALSE
688660.SH,FALSE
688657.SH,FALSE
688629.SH,FALSE
688630.SH,FALSE
688617.SH,FALSE
688612.SH,FALSE
688608.SH,FALSE
688605.SH,FALSE
688603.SH,FALSE
688599.SH,FALSE
688591.SH,FALSE
688584.SH,FALSE
688583.SH,FALSE
688582.SH,FALSE
688578.SH,FALSE
688577.SH,FALSE
688568.SH,FALSE
688563.SH,FALSE
688561.SH,FALSE
688553.SH,FALSE
688538.SH,FALSE
688525.SH,FALSE
688521.SH,FALSE
688520.SH,FALSE
688519.SH,FALSE
688512.SH,FALSE
688508.SH,FALSE
688507.SH,FALSE
688502.SH,FALSE
688498.SH,FALSE
688486.SH,FALSE
688475.SH,FALSE
688472.SH,FALSE
688469.SH,FALSE
688449.SH,FALSE
688433.SH,FALSE
688428.SH,FALSE
688411.SH,FALSE
688403.SH,FALSE
688400.SH,FALSE
688396.SH,FALSE
688388.SH,FALSE
688387.SH,FALSE
688385.SH,FALSE
688382.SH,FALSE
688380.SH,FALSE
688365.SH,FALSE
688363.SH,FALSE
688362.SH,FALSE
688361.SH,FALSE
688352.SH,FALSE
688351.SH,FALSE
688349.SH,FALSE
688347.SH,FALSE
688343.SH,FALSE
688339.SH,FALSE
688333.SH,FALSE
688327.SH,FALSE
688322.SH,FALSE
688321.SH,FALSE
688313.SH,FALSE
688300.SH,FALSE
