iter	MultiClass
0	1.053345745
1	1.01274482
2	0.9771811908
3	0.944659181
4	0.9154709118
5	0.8887730323
6	0.8644288913
7	0.8420002231
8	0.8212036616
9	0.8018941656
10	0.7843685855
11	0.7679171616
12	0.7521089761
13	0.7377842359
14	0.7241819743
15	0.7115399644
16	0.700051292
17	0.6893635538
18	0.6793152914
19	0.6698993562
20	0.6610784534
21	0.6529081358
22	0.6447270704
23	0.6371152648
24	0.6301111735
25	0.6234430152
26	0.6172053501
27	0.6113827158
28	0.6057984277
29	0.6006886986
30	0.5955090196
31	0.5906922192
32	0.5863211896
33	0.5821465323
34	0.578284793
35	0.574586691
36	0.570898156
37	0.5675757171
38	0.5645893111
39	0.5615441853
40	0.558532755
41	0.5557148986
42	0.5531353957
43	0.5506950189
44	0.5481933078
45	0.5459751308
46	0.5437447475
47	0.5417842571
48	0.5398333363
49	0.5379996657
50	0.5359274728
51	0.5341519715
52	0.5325164
53	0.530858295
54	0.5293950469
55	0.528010993
56	0.5265886659
57	0.5254524369
58	0.5242478787
59	0.522935835
60	0.5219492706
61	0.5207978723
62	0.5197093459
63	0.5188061072
64	0.5178739371
65	0.5171575555
66	0.5163688457
67	0.5154621481
68	0.5146941776
69	0.5140396837
70	0.5132713037
71	0.512564035
72	0.5119268588
73	0.5115748731
74	0.5109569633
75	0.5102772654
76	0.5096698757
77	0.5091789783
78	0.5087645745
79	0.5081445316
80	0.5076334921
81	0.5070541606
82	0.506698703
83	0.5063350343
84	0.5058945479
85	0.5054464138
86	0.5052752837
87	0.5048640927
88	0.5045297546
89	0.50430263
90	0.5039351588
91	0.5037323893
92	0.5034141572
93	0.5030499558
94	0.5026972373
95	0.5024643199
96	0.5023276818
97	0.5020062863
98	0.5016514628
99	0.5015662374
100	0.5012566028
101	0.5009494604
102	0.5005925605
103	0.5002866326
104	0.5000030744
105	0.4997824466
106	0.4995797383
107	0.4994371571
108	0.4993315722
109	0.4991964936
110	0.4990423407
111	0.4988952663
112	0.4987043834
113	0.4985619287
114	0.498264985
115	0.4981100903
116	0.4980004372
117	0.497823655
118	0.4976604649
119	0.4975011705
120	0.4973800779
121	0.4972862482
122	0.4971402569
123	0.4969304854
124	0.4967290504
125	0.4966395222
126	0.4964003792
127	0.4962952523
128	0.4961545127
129	0.4960520085
130	0.4958898571
131	0.4957986966
132	0.4957364125
133	0.4955620861
134	0.4954007603
135	0.4953086834
136	0.4952559174
137	0.4951515903
138	0.4949854463
139	0.4949198719
140	0.4948066368
141	0.4946519006
142	0.4944593348
143	0.4943092868
144	0.4941087681
145	0.4940375796
146	0.4939188618
147	0.4937634298
148	0.4936252453
149	0.4935358655
150	0.4934710941
151	0.4933557713
152	0.4932408744
153	0.4931737587
154	0.492970203
155	0.4929034653
156	0.4928207538
157	0.4927309185
158	0.4926292055
159	0.4925091808
160	0.4924191271
161	0.492348413
162	0.4922108925
163	0.4920906857
164	0.492042723
165	0.4919556855
166	0.491856181
167	0.4918159915
168	0.4916982124
169	0.491655791
170	0.4916009744
171	0.4915683064
172	0.4914681515
173	0.4913861349
174	0.4913067958
175	0.4912367917
176	0.4911805479
177	0.491118327
178	0.4910689959
179	0.4910146962
180	0.4908595319
181	0.4907643656
182	0.490681898
183	0.4906145818
184	0.4905622493
185	0.4905175967
186	0.4904649958
187	0.4903963925
188	0.4903027943
189	0.49023753
190	0.4901527479
191	0.4900251167
192	0.4899428842
193	0.4898839204
194	0.4898294106
195	0.4897922537
196	0.48967971
197	0.4896161346
198	0.4895584848
199	0.4894862074
200	0.4894536347
201	0.489404097
202	0.4893447061
203	0.4892915215
204	0.4892019674
205	0.4891268779
206	0.4890725506
207	0.4890073491
208	0.4889436904
209	0.4888918935
210	0.4888462175
211	0.4888015168
212	0.4887620083
213	0.4887121086
214	0.4886677694
215	0.4885378646
216	0.4884670129
217	0.488435055
218	0.488366443
219	0.4883129693
220	0.4882598253
221	0.4882068352
222	0.4881716899
223	0.488137702
224	0.4880965149
225	0.4880550893
226	0.4880094956
227	0.4879666157
228	0.487910975
229	0.4878600252
230	0.487820244
231	0.4877246554
232	0.4877044768
233	0.487605457
234	0.487574355
235	0.4875312898
236	0.4874869307
237	0.4874507517
238	0.4873985167
239	0.4873695139
240	0.4873401122
241	0.4873131392
242	0.4872632061
243	0.4872278719
244	0.4871507017
245	0.4870976135
246	0.4869731205
247	0.4869359564
248	0.4868337813
249	0.486788662
250	0.4867507606
251	0.4866878179
252	0.4866366675
253	0.486566686
254	0.4865432968
255	0.48646495
256	0.4864408201
257	0.4864068998
258	0.4863447653
259	0.486304325
260	0.4862214059
261	0.4861886515
262	0.4861480009
263	0.4860792374
264	0.4860318217
265	0.4859681736
266	0.4859239327
267	0.4858751991
268	0.4858314341
269	0.485790189
270	0.4857561042
271	0.4857033945
272	0.4856109342
273	0.4855491036
274	0.4854786389
275	0.485438637
276	0.4854163625
277	0.4853678938
278	0.4853375735
279	0.4853153477
280	0.4852880347
281	0.4852419086
282	0.4852077649
283	0.4851611431
284	0.4851209138
285	0.4850441534
286	0.4849966398
287	0.484932505
288	0.4848700599
289	0.4847671166
290	0.4847345427
291	0.4846725568
292	0.4845374072
293	0.4844449258
294	0.484383509
295	0.4843339911
296	0.4841981099
297	0.4841414877
298	0.4840761472
299	0.4840399759
300	0.4839646639
301	0.4839185012
302	0.4838823607
303	0.4838480648
304	0.4838137449
305	0.4837396642
306	0.4836866878
307	0.4836481026
308	0.4835937591
309	0.483497914
310	0.4834409132
311	0.4833196146
312	0.4832490809
313	0.4832074187
314	0.4831798801
315	0.4831247286
316	0.4830590681
317	0.4830058636
318	0.4829569343
319	0.4828953439
320	0.4828083073
321	0.4827599199
322	0.4827184166
323	0.4826480723
324	0.4826123624
325	0.4825685767
326	0.4824859226
327	0.4824400877
328	0.4824090188
329	0.4823629555
330	0.482309065
331	0.4822434437
332	0.4821818767
