iter	Passed	Remaining
0	6959	41751731
1	13602	40793465
2	19748	39476370
3	25545	38293405
4	31550	37828497
5	37578	37541019
6	43730	37439401
7	49927	37395774
8	56156	37381751
9	62072	37181475
10	67984	37014719
11	73846	36849334
12	79385	36559934
13	85103	36387971
14	90734	36203151
15	96707	36168521
16	102776	36171186
17	108498	36057778
18	114491	36040600
19	120375	35992245
20	126185	35926934
21	131949	35854325
22	137496	35731196
23	143011	35609741
24	148711	35542129
25	154440	35485672
26	160158	35430717
27	166093	35425310
28	171753	35363406
29	177327	35288160
30	182840	35205619
31	188277	35113755
32	193871	35055410
33	199843	35066729
34	205579	35036572
35	211356	35014650
36	217195	35003726
37	223285	35032340
38	229093	35016071
39	235038	35020750
40	241502	35100264
41	247589	35122292
42	253353	35098365
43	259056	35066859
44	264894	35054355
45	270668	35033920
46	276417	35010922
47	282334	35009532
48	287919	34967572
49	293470	34922938
50	299194	34900122
51	304970	34883980
52	310916	34887196
53	316668	34868772
54	322428	34851607
55	328363	34853481
56	334534	34879629
57	340705	34904726
58	346196	34860229
59	351915	34839648
60	357422	34798875
61	362910	34757426
62	368553	34731809
63	374049	34693109
64	379660	34665929
65	385434	34654091
66	391186	34640438
67	397057	34637420
68	402960	34637085
69	408877	34637796
70	414674	34628242
71	420554	34625663
72	426306	34612591
73	431896	34586708
74	437427	34556809
75	442987	34529745
76	448730	34517244
77	454611	34515481
78	460567	34519273
79	466556	34525179
80	472717	34543373
81	478923	34564250
82	484877	34566509
83	490540	34548048
84	496210	34530428
85	501899	34514322
86	507506	34492915
87	513216	34478824
88	519110	34477079
89	524739	34457907
90	530277	34433088
91	535808	34408248
92	541408	34388186
93	547112	34374930
94	552974	34371748
95	558519	34348920
96	564034	34324700
97	569626	34305481
98	575468	34301438
99	580981	34277901
100	586805	34272933
101	592185	34242261
102	597750	34222653
103	603420	34209322
104	608970	34189323
105	614471	34166957
106	619955	34143881
107	625533	34126314
108	631141	34110612
109	636674	34091039
110	642861	34106387
111	648951	34116311
112	654578	34101790
113	660162	34085240
114	665570	34059849
115	671157	34043896
116	676514	34016554
117	681802	33986130
