Model,Freq,Version,Parameters,Test Metrics,Train Metrics,Label Values
RF,D,0.1,"{'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 10, 'min_samples_leaf': 5, 'max_features': 'sqrt', 'class_weight': {0: 1, 1: 3.5, 2: 3.5}, 'random_state': 42, 'n_jobs': -1}","              precision    recall  f1-score   support

           0       0.79      0.51      0.62   2351820
           1       0.37      0.58      0.45    589474
           2       0.38      0.68      0.49    587278

    accuracy                           0.55   3528572
   macro avg       0.51      0.59      0.52   3528572
weighted avg       0.65      0.55      0.57   3528572
","              precision    recall  f1-score   support

           0       0.78      0.48      0.60   5201632
           1       0.37      0.64      0.47   1358594
           2       0.38      0.66      0.48   1363835

    accuracy                           0.54   7924061
   macro avg       0.51      0.59      0.52   7924061
weighted avg       0.64      0.54      0.55   7924061
","top_or_bottom_optimized
0    2351820
1     589474
2     587278
Name: count, dtype: int64"
RF,D,0.1,"{'n_estimators': 300, 'max_depth': 10, 'min_samples_split': 10, 'min_samples_leaf': 5, 'max_features': 'sqrt', 'class_weight': {0: 1, 1: 1.5, 2: 1.5}, 'random_state': 42, 'n_jobs': -1}","              precision    recall  f1-score   support

           0       0.71      0.89      0.79   2351820
           1       0.53      0.20      0.29    589474
           2       0.52      0.32      0.40    587278

    accuracy                           0.68   3528572
   macro avg       0.59      0.47      0.49   3528572
weighted avg       0.65      0.68      0.64   3528572
","              precision    recall  f1-score   support

           0       0.70      0.88      0.78   5201632
           1       0.54      0.25      0.34   1358594
           2       0.53      0.32      0.40   1363835

    accuracy                           0.67   7924061
   macro avg       0.59      0.48      0.51   7924061
weighted avg       0.64      0.67      0.64   7924061
","top_or_bottom_optimized
0    2351820
1     589474
2     587278
Name: count, dtype: int64"
RF,D,0.1,"{'n_estimators': 500, 'max_depth': 30, 'min_samples_split': 10, 'min_samples_leaf': 5, 'max_features': 'sqrt', 'class_weight': {0: 1, 1: 2, 2: 2}, 'random_state': 42, 'n_jobs': -1}",
"              precision    recall  f1-score   support

           0       0.73      0.88      0.80    473264
           1       0.58      0.27      0.37    118701
           2       0.56      0.37      0.44    118275

    accuracy                           0.69    710240
   macro avg       0.62      0.51      0.54    710240
weighted avg       0.67      0.69      0.67    710240
","              precision    recall  f1-score   support

           0       0.93      0.98      0.96   1893055
           1       0.97      0.84      0.90    474804
           2       0.94      0.86      0.90    473100

    accuracy                           0.94   2840959
   macro avg       0.95      0.90      0.92   2840959
weighted avg       0.94      0.94      0.94   2840959
","top_or_bottom_optimized
0    473264
1    118701
2    118275
Name: count, dtype: int64"
RF,D,0.1,"{'n_estimators': 300, 'max_depth': 15, 'min_samples_split': 20, 'min_samples_leaf': 10, 'max_features': 'log2', 'class_weight': {0: 1, 1: 10, 2: 10}, 'random_state': 42, 'bootstrap': False, 'n_jobs': -1}","              precision    recall  f1-score   support

           0       0.83      0.99      0.91    736000
           1       0.62      0.01      0.03     76832
           2       0.50      0.05      0.10     73600

    accuracy                           0.83    886432
   macro avg       0.65      0.35      0.34    886432
weighted avg       0.79      0.83      0.76    886432
","              precision    recall  f1-score   support

           0       1.00      1.00      1.00   1788570
           1       1.00      1.00      1.00    191042
           2       1.00      1.00      1.00    178857

    accuracy                           1.00   2158469
   macro avg       1.00      1.00      1.00   2158469
weighted avg       1.00      1.00      1.00   2158469
","top_bottom_volatility_optimized
0    1788570
1     191042
2     178857
Name: count, dtype: int64"
RF,D,0.1,"{'n_estimators': 300, 'max_depth': 5, 'min_samples_split': 50, 'min_samples_leaf': 30, 'max_features': 'log2', 'class_weight': {0: 1, 1: 20, 2: 20}, 'random_state': 42, 'bootstrap': True, 'n_jobs': -1}","              precision    recall  f1-score   support

           0       0.83      0.99      0.91    736000
           1       0.61      0.01      0.03     76832
           2       0.50      0.05      0.10     73600

    accuracy                           0.83    886432
   macro avg       0.65      0.35      0.34    886432
weighted avg       0.79      0.83      0.76    886432
","              precision    recall  f1-score   support

           0       1.00      1.00      1.00   1788570
           1       1.00      1.00      1.00    191042
           2       1.00      1.00      1.00    178857

    accuracy                           1.00   2158469
   macro avg       1.00      1.00      1.00   2158469
weighted avg       1.00      1.00      1.00   2158469
","top_bottom_volatility_optimized
0    1788570
1     191042
2     178857
Name: count, dtype: int64"
RF,D,0.1,"{'n_estimators': 300, 'max_depth': 5, 'min_samples_split': 50, 'min_samples_leaf': 30, 'max_features': 'log2', 'class_weight': {0: 1, 1: 20, 2: 20}, 'random_state': 42, 'bootstrap': True, 'n_jobs': -1}","              precision    recall  f1-score   support

           0       0.84      0.94      0.89    736000
           1       0.34      0.08      0.13     76832
           2       0.33      0.21      0.26     73600

    accuracy                           0.81    886432
   macro avg       0.50      0.41      0.42    886432
weighted avg       0.76      0.81      0.77    886432
","              precision    recall  f1-score   support

           0       1.00      1.00      1.00   1788570
           1       1.00      1.00      1.00   1609713
           2       1.00      1.00      1.00   1609713

    accuracy                           1.00   5007996
   macro avg       1.00      1.00      1.00   5007996
weighted avg       1.00      1.00      1.00   5007996
","top_bottom_volatility_optimized
0    1788570
1    1609713
2    1609713
Name: count, dtype: int64"
RF,D,0.1,"{'n_estimators': 150, 'max_depth': 10, 'min_samples_split': 100, 'min_samples_leaf': 50, 'max_features': 'sqrt', 'class_weight': 'balanced_subsample', 'random_state': 42, 'bootstrap': True, 'n_jobs': -1}","              precision    recall  f1-score   support

           0       0.87      0.77      0.82    736000
           1       0.26      0.31      0.28     76832
           2       0.27      0.52      0.35     73600

    accuracy                           0.71    886432
   macro avg       0.47      0.54      0.48    886432
weighted avg       0.77      0.71      0.73    886432
","              precision    recall  f1-score   support

           0       1.00      1.00      1.00    357714
           1       1.00      1.00      1.00    191042
           2       1.00      1.00      1.00    178857

    accuracy                           1.00    727613
   macro avg       1.00      1.00      1.00    727613
weighted avg       1.00      1.00      1.00    727613
","top_bottom_volatility_optimized
0    357714
1    191042
2    178857
Name: count, dtype: int64"
RF,D,0.1,"{'n_estimators': 150, 'max_depth': 10, 'min_samples_split': 100, 'min_samples_leaf': 50, 'max_features': 'sqrt', 'class_weight': 'balanced_subsample', 'random_state': 42, 'bootstrap': True, 'n_jobs': -1}","              precision    recall  f1-score   support

           0       0.87      0.77      0.82    736000
           1       0.26      0.31      0.29     76832
           2       0.26      0.52      0.35     73600

    accuracy                           0.71    886432
   macro avg       0.47      0.53      0.48    886432
weighted avg       0.77      0.71      0.73    886432
","              precision    recall  f1-score   support

           0       1.00      1.00      1.00    357714
           1       1.00      1.00      1.00    191042
           2       1.00      1.00      1.00    178857

    accuracy                           1.00    727613
   macro avg       1.00      1.00      1.00    727613
weighted avg       1.00      1.00      1.00    727613
","top_bottom_volatility_optimized
0    357714
1    191042
2    178857
Name: count, dtype: int64"
RF,D,0.1,"{'n_estimators': 500, 'max_depth': 15, 'min_samples_split': 20, 'min_samples_leaf': 10, 'max_features': 'sqrt', 'class_weight': 'balanced_subsample', 'random_state': 42, 'n_jobs': -1}","              precision    recall  f1-score   support

           0       0.85      0.13      0.22   2351820
           1       0.29      0.79      0.42    589474
           2       0.31      0.84      0.46    587278

    accuracy                           0.36   3528572
   macro avg       0.48      0.58      0.37   3528572
weighted avg       0.67      0.36      0.29   3528572
","              precision    recall  f1-score   support

           0       1.00      1.00      1.00     67929
           1       1.00      1.00      1.00    135859
           2       1.00      1.00      1.00    135859

    accuracy                           1.00    339647
   macro avg       1.00      1.00      1.00    339647
weighted avg       1.00      1.00      1.00    339647
","top_or_bottom_optimized
1    135859
2    135859
0     67929
Name: count, dtype: int64"
