Model,Freq,Version,Parameters,Test Metrics,Train Metrics,Label Values
RF,M,0.1,"{'n_estimators': 100, 'max_depth': None, 'min_samples_split': 10, 'min_samples_leaf': 5, 'max_features': 'sqrt', 'class_weight': 'balanced', 'random_state': 42, 'n_jobs': -1}","              precision    recall  f1-score   support

           0       0.74      0.76      0.75    109626
           1       0.55      0.53      0.54     32869
           2       0.53      0.51      0.52     31401

    accuracy                           0.67    173896
   macro avg       0.61      0.60      0.60    173896
weighted avg       0.67      0.67      0.67    173896
","              precision    recall  f1-score   support

           0       0.99      0.94      0.96    256367
           1       0.90      0.97      0.93     69399
           2       0.89      0.97      0.93     68027

    accuracy                           0.95    393793
   macro avg       0.93      0.96      0.94    393793
weighted avg       0.96      0.95      0.95    393793
","top_or_bottom_optimized
0    256367
1     69399
2     68027
Name: count, dtype: int64"
RF,M,0.1,"{'n_estimators': 200, 'max_depth': None, 'min_samples_split': 10, 'min_samples_leaf': 5, 'max_features': 'sqrt', 'class_weight': {0: 1, 1: 2, 2: 2}, 'random_state': 42, 'n_jobs': -1}","              precision    recall  f1-score   support

           0       0.71      0.85      0.78    109626
           1       0.62      0.42      0.50     32869
           2       0.59      0.40      0.47     31401

    accuracy                           0.69    173896
   macro avg       0.64      0.55      0.58    173896
weighted avg       0.67      0.69      0.67    173896
","              precision    recall  f1-score   support

           0       0.95      0.99      0.97    256367
           1       0.96      0.89      0.93     69399
           2       0.96      0.89      0.92     68027

    accuracy                           0.95    393793
   macro avg       0.96      0.92      0.94    393793
weighted avg       0.95      0.95      0.95    393793
","top_or_bottom_optimized
0    256367
1     69399
2     68027
Name: count, dtype: int64"
RF,M,0.1,"{'n_estimators': 300, 'max_depth': None, 'min_samples_split': 10, 'min_samples_leaf': 5, 'max_features': 'sqrt', 'class_weight': {0: 1, 1: 2, 2: 2}, 'random_state': 42, 'n_jobs': -1}","              precision    recall  f1-score   support

           0       0.71      0.85      0.78    109626
           1       0.62      0.42      0.50     32869
           2       0.59      0.40      0.47     31401

    accuracy                           0.69    173896
   macro avg       0.64      0.55      0.58    173896
weighted avg       0.67      0.69      0.67    173896
","              precision    recall  f1-score   support

           0       0.95      0.99      0.97    256367
           1       0.96      0.89      0.93     69399
           2       0.97      0.89      0.93     68027

    accuracy                           0.95    393793
   macro avg       0.96      0.92      0.94    393793
weighted avg       0.95      0.95      0.95    393793
","top_or_bottom_optimized
0    256367
1     69399
2     68027
Name: count, dtype: int64"
RF,M,0.1,"{'n_estimators': 300, 'max_depth': None, 'min_samples_split': 10, 'min_samples_leaf': 5, 'max_features': 'sqrt', 'class_weight': {0: 1, 1: 3, 2: 3}, 'random_state': 42, 'n_jobs': -1}","              precision    recall  f1-score   support

           0       0.73      0.80      0.76    109626
           1       0.58      0.49      0.53     32869
           2       0.55      0.47      0.51     31401

    accuracy                           0.68    173896
   macro avg       0.62      0.59      0.60    173896
weighted avg       0.67      0.68      0.67    173896
","              precision    recall  f1-score   support

           0       0.98      0.96      0.97    256367
           1       0.93      0.96      0.94     69399
           2       0.93      0.96      0.94     68027

    accuracy                           0.96    393793
   macro avg       0.95      0.96      0.95    393793
weighted avg       0.96      0.96      0.96    393793
","top_or_bottom_optimized
0    256367
1     69399
2     68027
Name: count, dtype: int64"
RF,M,0.1,"{'n_estimators': 400, 'max_depth': None, 'min_samples_split': 10, 'min_samples_leaf': 5, 'max_features': 'sqrt', 'class_weight': {0: 1, 1: 2.5, 2: 2.5}, 'random_state': 42, 'n_jobs': -1}","              precision    recall  f1-score   support

           0       0.72      0.82      0.77    109626
           1       0.60      0.46      0.52     32869
           2       0.57      0.44      0.49     31401

    accuracy                           0.68    173896
   macro avg       0.63      0.57      0.59    173896
weighted avg       0.67      0.68      0.67    173896
","              precision    recall  f1-score   support

           0       0.97      0.98      0.97    256367
           1       0.95      0.94      0.94     69399
           2       0.95      0.93      0.94     68027

    accuracy                           0.96    393793
   macro avg       0.96      0.95      0.95    393793
weighted avg       0.96      0.96      0.96    393793
","top_or_bottom_optimized
0    256367
1     69399
2     68027
Name: count, dtype: int64"
RF,M,0.1,"{'n_estimators': 500, 'max_depth': None, 'min_samples_split': 10, 'min_samples_leaf': 5, 'max_features': 'sqrt', 'class_weight': {0: 1, 1: 2.1, 2: 2.1}, 'random_state': 42, 'n_jobs': -1}","              precision    recall  f1-score   support

           0       0.72      0.85      0.78    109626
           1       0.62      0.43      0.51     32869
           2       0.58      0.40      0.48     31401

    accuracy                           0.69    173896
   macro avg       0.64      0.56      0.59    173896
weighted avg       0.67      0.69      0.67    173896
","              precision    recall  f1-score   support

           0       0.95      0.98      0.97    256367
           1       0.96      0.90      0.93     69399
           2       0.96      0.90      0.93     68027

    accuracy                           0.96    393793
   macro avg       0.96      0.93      0.94    393793
weighted avg       0.96      0.96      0.96    393793
","top_or_bottom_optimized
0    256367
1     69399
2     68027
Name: count, dtype: int64"
RF,M,0.1,"{'n_estimators': 1000, 'max_depth': 30, 'min_samples_split': 10, 'min_samples_leaf': 5, 'max_features': 'sqrt', 'class_weight': {0: 1, 1: 2, 2: 2}, 'random_state': 42, 'n_jobs': -1}","              precision    recall  f1-score   support

           0       0.71      0.85      0.78    109626
           1       0.62      0.42      0.50     32869
           2       0.59      0.39      0.47     31401

    accuracy                           0.69    173896
   macro avg       0.64      0.56      0.58    173896
weighted avg       0.67      0.69      0.67    173896
","              precision    recall  f1-score   support

           0       0.95      0.99      0.97    256367
           1       0.97      0.89      0.93     69399
           2       0.97      0.89      0.93     68027

    accuracy                           0.95    393793
   macro avg       0.96      0.92      0.94    393793
weighted avg       0.95      0.95      0.95    393793
","top_or_bottom_optimized
0    256367
1     69399
2     68027
Name: count, dtype: int64"
RF,M,0.1,"{'n_estimators': 1000, 'max_depth': 30, 'min_samples_split': 10, 'min_samples_leaf': 5, 'max_features': 'sqrt', 'class_weight': {0: 1, 1: 2, 2: 2}, 'random_state': 42, 'n_jobs': -1}","              precision    recall  f1-score   support

           0       0.71      0.85      0.78    109626
           1       0.63      0.42      0.50     32869
           2       0.59      0.40      0.47     31401

    accuracy                           0.69    173896
   macro avg       0.64      0.56      0.58    173896
weighted avg       0.67      0.69      0.67    173896
","              precision    recall  f1-score   support

           0       0.95      0.99      0.97    256367
           1       0.96      0.89      0.93     69399
           2       0.97      0.89      0.93     68027

    accuracy                           0.95    393793
   macro avg       0.96      0.92      0.94    393793
weighted avg       0.95      0.95      0.95    393793
","top_or_bottom_optimized
0    256367
1     69399
2     68027
Name: count, dtype: int64"
RF,M,0.1,"{'n_estimators': 1000, 'max_depth': 50, 'min_samples_split': 10, 'min_samples_leaf': 5, 'max_features': 'sqrt', 'class_weight': {0: 1, 1: 2, 2: 2}, 'random_state': 42, 'n_jobs': -1}","              precision    recall  f1-score   support

           0       0.71      0.85      0.78    109626
           1       0.62      0.42      0.50     32869
           2       0.59      0.39      0.47     31401

    accuracy                           0.69    173896
   macro avg       0.64      0.56      0.58    173896
weighted avg       0.67      0.69      0.67    173896
","              precision    recall  f1-score   support

           0       0.95      0.99      0.97    256367
           1       0.97      0.89      0.93     69399
           2       0.97      0.89      0.93     68027

    accuracy                           0.95    393793
   macro avg       0.96      0.92      0.94    393793
weighted avg       0.95      0.95      0.95    393793
","top_or_bottom_optimized
0    256367
1     69399
2     68027
Name: count, dtype: int64"
RF,M,0.1,"{'n_estimators': 1000, 'max_depth': 30, 'min_samples_split': 20, 'min_samples_leaf': 5, 'max_features': 'sqrt', 'class_weight': {0: 1, 1: 2, 2: 2}, 'random_state': 42, 'n_jobs': -1}","              precision    recall  f1-score   support

           0       0.72      0.83      0.77    109626
           1       0.60      0.45      0.52     32869
           2       0.57      0.43      0.49     31401

    accuracy                           0.69    173896
   macro avg       0.63      0.57      0.59    173896
weighted avg       0.67      0.69      0.67    173896
","              precision    recall  f1-score   support

           0       0.90      0.96      0.93    256367
           1       0.90      0.80      0.85     69399
           2       0.90      0.80      0.85     68027

    accuracy                           0.90    393793
   macro avg       0.90      0.85      0.87    393793
weighted avg       0.90      0.90      0.90    393793
","top_or_bottom_optimized
0    256367
1     69399
2     68027
Name: count, dtype: int64"
