iter	MultiClass
0	1.050770446
1	1.011866168
2	0.9792766885
3	0.9519667485
4	0.9287470985
5	0.9097464573
6	0.8919531824
7	0.8769814676
8	0.8640616189
9	0.8525350671
10	0.8422330638
11	0.8334136823
12	0.8258761003
13	0.8190179701
14	0.8128282928
15	0.807514963
16	0.802721665
17	0.7982411464
18	0.7941861291
19	0.7909533819
20	0.7868469129
21	0.7840985544
22	0.7810497308
23	0.7778293319
24	0.7755435501
25	0.7732142284
26	0.7707276361
27	0.7687148162
28	0.7661838818
29	0.7638014606
30	0.7620075181
31	0.7603968205
32	0.7585557882
33	0.7572842884
34	0.7555686814
35	0.7541155079
36	0.752757986
37	0.7518711308
38	0.7501882136
39	0.7487084423
40	0.7473094617
41	0.7460544874
42	0.7445900461
43	0.7433630757
44	0.7426031713
45	0.7418125497
46	0.7407692389
47	0.7396274564
48	0.73881743
49	0.7380534088
50	0.7372028983
51	0.7364417357
52	0.7356824566
53	0.7348243975
54	0.7338011032
55	0.7329789646
56	0.7323367158
57	0.7314368329
58	0.7309307483
59	0.7301661766
60	0.7293721228
61	0.7288634416
62	0.728294258
63	0.7276941847
64	0.7270772471
65	0.726339895
66	0.7255610373
67	0.7251296994
68	0.7245908235
69	0.7240009893
70	0.7235914727
71	0.722965379
72	0.7223303841
73	0.7218497817
74	0.7213264872
75	0.7208118297
76	0.7202977478
77	0.7197608557
78	0.7192755775
79	0.718583004
80	0.718105717
81	0.7176609019
82	0.7172246889
83	0.7168434441
84	0.716281852
85	0.7158502428
86	0.7154271983
87	0.7150004591
88	0.7146191899
89	0.7142322717
90	0.713729265
91	0.7133893791
92	0.7129872382
93	0.7125908803
94	0.7122774906
95	0.7118470711
96	0.7114589491
97	0.7110057202
98	0.710530801
99	0.7101893426
100	0.7098459824
101	0.7094728312
102	0.7092046687
103	0.7087767768
104	0.7084044715
105	0.7080775361
106	0.7076575462
107	0.7074618021
108	0.707048708
109	0.7066716161
110	0.7064069578
111	0.7060784013
112	0.7057739324
113	0.705429023
114	0.7051920682
115	0.7048060619
116	0.7045536597
117	0.7041990681
118	0.7038043578
119	0.7036035986
120	0.7033438456
121	0.7030620437
122	0.7027118591
123	0.7023713777
124	0.702086997
125	0.7018296778
126	0.7015696625
127	0.7012667281
128	0.701049549
129	0.7007383883
130	0.7004967736
131	0.7002764488
132	0.7000706637
133	0.6997536459
134	0.6994964617
135	0.6992424765
136	0.6988983918
137	0.6986201113
138	0.6983470249
139	0.6980642775
140	0.6978163181
141	0.6974993516
142	0.6972315799
143	0.6970241267
144	0.696753274
145	0.6964056683
146	0.6961370817
147	0.6958896116
148	0.6955462461
149	0.6952894137
150	0.6949098565
151	0.6945933242
152	0.694394798
153	0.6941928688
154	0.694023365
155	0.6938586964
156	0.6935981931
157	0.693337165
158	0.6931004777
159	0.6928773758
160	0.6927036684
161	0.6924026474
162	0.692122391
163	0.6918934614
164	0.6916705944
165	0.6914367477
166	0.6911626271
167	0.6909389655
168	0.6906857663
169	0.6904105575
170	0.6901917911
171	0.6899649242
172	0.6897731104
173	0.6895421468
174	0.6893492588
175	0.6891280976
176	0.6889410901
177	0.6887616632
178	0.6885659246
179	0.6883525853
180	0.688211002
181	0.6879811702
182	0.6877890284
183	0.6876431676
184	0.6874064654
185	0.6871769131
186	0.6869221345
187	0.6867161187
188	0.6865521796
189	0.6863526425
190	0.6861252413
191	0.6859313239
192	0.6857850505
193	0.6856019576
194	0.6854137336
195	0.6852418836
196	0.6850765819
197	0.6848945737
198	0.6846798124
199	0.6844783325
200	0.6842878707
201	0.6840916113
202	0.6839640213
203	0.6838034383
204	0.6836093235
205	0.6834163359
206	0.6832832979
207	0.683178389
208	0.6830326397
209	0.6828534303
210	0.6826391721
211	0.6824596058
212	0.6823102923
213	0.682132783
214	0.6819861743
215	0.6818002497
216	0.6816565192
217	0.6814645145
218	0.6812501424
219	0.6810585026
220	0.6808726093
221	0.6807228645
222	0.6806147164
223	0.6804461259
224	0.6803207964
225	0.6801798181
226	0.6800737459
227	0.6798613845
228	0.6796954119
229	0.679547577
230	0.6794299918
231	0.6792633759
232	0.6791313702
233	0.6790216868
234	0.6788457722
235	0.6786929092
236	0.6785105875
237	0.6783292836
238	0.6781983005
239	0.6780636716
240	0.6779132772
241	0.6777669811
242	0.6776162453
243	0.6775069752
244	0.6773496331
245	0.6771599723
246	0.6770067223
247	0.6768451711
248	0.6766677435
249	0.6765266368
250	0.6764251631
251	0.676311291
252	0.6761380448
253	0.6759748836
254	0.6758389348
255	0.6756905204
256	0.6755610246
257	0.6754419814
258	0.6753216442
259	0.6751966731
260	0.6750310643
261	0.6749157143
262	0.6748236223
263	0.6747137859
264	0.6745485438
265	0.6744223755
266	0.6743039292
267	0.6741980611
268	0.6741034386
269	0.6739961373
270	0.6738299087
271	0.6737379025
272	0.673613493
273	0.6734846412
274	0.6733490483
275	0.6732492803
276	0.6730982726
277	0.6729483522
278	0.6728064915
279	0.6726177849
280	0.6724786849
