Model,Freq,Version,Parameters,Test Metrics,Train Metrics,Label Values
RF,D,0.2,"{
    'n_estimators': 500,  # 初始树的数量，后续可增加
    'max_depth': 15,  # 限制树的深度，避免过拟合
    'min_samples_split': 10,  # 每次分裂所需的最小样本数
    'min_samples_leaf': 5,  # 叶子节点的最小样本数
    'max_features': 'sqrt',  # 每次分裂时考虑的特征数量
    'class_weight': {0: 1, 1: 4, 2: 4},  # 平衡类别权重
    'random_state': 42,  # 固定随机种子
    'n_jobs': -1,  # 使用所有 CPU 核心
}","              precision    recall  f1-score   support

           0       0.74      0.76      0.75     40000
           1       0.44      0.38      0.41     10000
           2       0.46      0.47      0.46     10000

    accuracy                           0.65     60000
   macro avg       0.54      0.54      0.54     60000
weighted avg       0.64      0.65      0.64     60000
","              precision    recall  f1-score   support

           0       0.97      0.84      0.90     40000
           1       0.74      0.93      0.83     10000
           2       0.72      0.92      0.81     10000

    accuracy                           0.87     60000
   macro avg       0.81      0.90      0.84     60000
weighted avg       0.89      0.87      0.87     60000
","top_or_bottom_optimized
0    40000
1    10000
2    10000
Name: count, dtype: int64"

XGB,D,0.2,"{'n_estimators': 1000, 'learning_rate': 0.01, 'max_depth': 6, 'min_child_weight': 10, 'gamma': 1, 'subsample': 0.8, 'colsample_bytree': 0.8, 'scale_pos_weight': 4, 'objective': 'multi:softmax', 'num_class': 3, 'eval_metric': 'mlogloss', 'random_state': 42}","              precision    recall  f1-score   support

           0       0.70      0.94      0.80     40000
           1       0.58      0.15      0.23     10000
           2       0.60      0.21      0.31     10000

    accuracy                           0.69     60000
   macro avg       0.63      0.43      0.45     60000
weighted avg       0.66      0.69      0.62     60000
","              precision    recall  f1-score   support

           0       0.72      0.96      0.82     40000
           1       0.75      0.26      0.39     10000
           2       0.73      0.26      0.38     10000

    accuracy                           0.72     60000
   macro avg       0.73      0.49      0.53     60000
weighted avg       0.73      0.72      0.68     60000
","top_or_bottom_optimized
0    40000
1    10000
2    10000
Name: count, dtype: int64"
LGBM,D,0.2,"{'n_estimators': 1000, 'learning_rate': 0.01, 'max_depth': 6, 'num_leaves': 31, 'min_child_samples': 20, 'min_split_gain': 0.1, 'subsample': 0.8, 'colsample_bytree': 0.8, 'class_weight': {0: 1, 1: 4, 2: 4}, 'objective': 'multiclass', 'num_class': 3, 'metric': 'multi_logloss', 'random_state': 42}","              precision    recall  f1-score   support

           0       0.80      0.49      0.61     40000
           1       0.37      0.62      0.47     10000
           2       0.38      0.72      0.50     10000

    accuracy                           0.55     60000
   macro avg       0.52      0.61      0.52     60000
weighted avg       0.66      0.55      0.57     60000
","              precision    recall  f1-score   support

           0       0.87      0.49      0.63     40000
           1       0.41      0.77      0.54     10000
           2       0.42      0.78      0.55     10000

    accuracy                           0.59     60000
   macro avg       0.57      0.68      0.57     60000
weighted avg       0.72      0.59      0.60     60000
","top_or_bottom_optimized
0    40000
1    10000
2    10000
Name: count, dtype: int64"
CAT,D,0.2,"{'iterations': 1000, 'learning_rate': 0.01, 'depth': 6, 'l2_leaf_reg': 10, 'bagging_temperature': 1, 'random_strength': 1, 'class_weights': [1, 4, 4], 'loss_function': 'MultiClass', 'eval_metric': 'MultiClass', 'random_seed': 42, 'verbose': 100}","              precision    recall  f1-score   support

           0       0.80      0.48      0.60     40000
           1       0.36      0.61      0.46     10000
           2       0.38      0.72      0.50     10000

    accuracy                           0.54     60000
   macro avg       0.51      0.60      0.52     60000
weighted avg       0.65      0.54      0.56     60000
","              precision    recall  f1-score   support

           0       0.81      0.46      0.59     40000
           1       0.37      0.69      0.48     10000
           2       0.38      0.70      0.49     10000

    accuracy                           0.54     60000
   macro avg       0.52      0.62      0.52     60000
weighted avg       0.67      0.54      0.55     60000
","top_or_bottom_optimized
0    40000
1    10000
2    10000
Name: count, dtype: int64"
SVM,D,0.2,"{'kernel': 'rbf', 'C': 1.0, 'gamma': 'scale', 'class_weight': {0: 1, 1: 4, 2: 4}, 'probability': True, 'random_state': 42}","              precision    recall  f1-score   support

           0       0.68      0.21      0.32     40000
           1       0.17      0.55      0.27     10000
           2       0.21      0.33      0.26     10000

    accuracy                           0.29     60000
   macro avg       0.35      0.37      0.28     60000
weighted avg       0.51      0.29      0.30     60000
","              precision    recall  f1-score   support

           0       0.68      0.45      0.54     40000
           1       0.18      0.43      0.25     10000
           2       0.23      0.21      0.22     10000

    accuracy                           0.41     60000
   macro avg       0.36      0.36      0.34     60000
weighted avg       0.52      0.41      0.44     60000
","top_or_bottom_optimized
0    40000
1    10000
2    10000
Name: count, dtype: int64"
RF,D,0.2,"{'n_estimators': 500, 'max_depth': 15, 'min_samples_split': 10, 'min_samples_leaf': 5, 'max_features': 'sqrt', 'class_weight': {0: 1, 1: 4, 2: 4}, 'random_state': 42, 'n_jobs': -1}","              precision    recall  f1-score   support

           0       0.75      0.70      0.72     80000
           1       0.42      0.45      0.43     20000
           2       0.44      0.55      0.49     20000

    accuracy                           0.63    120000
   macro avg       0.54      0.56      0.55    120000
weighted avg       0.65      0.63      0.64    120000
","              precision    recall  f1-score   support

           0       0.94      0.77      0.85     80000
           1       0.65      0.88      0.74     20000
           2       0.64      0.88      0.74     20000

    accuracy                           0.81    120000
   macro avg       0.74      0.84      0.78    120000
weighted avg       0.84      0.81      0.81    120000
","top_or_bottom_optimized
0    80000
1    20000
2    20000
Name: count, dtype: int64"
XGB,D,0.2,"{'n_estimators': 1000, 'learning_rate': 0.01, 'max_depth': 6, 'min_child_weight': 10, 'gamma': 1, 'subsample': 0.8, 'colsample_bytree': 0.8, 'scale_pos_weight': 4, 'objective': 'multi:softmax', 'num_class': 3, 'eval_metric': 'mlogloss', 'random_state': 42}","              precision    recall  f1-score   support

           0       0.70      0.94      0.80     80000
           1       0.61      0.14      0.22     20000
           2       0.61      0.23      0.33     20000

    accuracy                           0.69    120000
   macro avg       0.64      0.44      0.45    120000
weighted avg       0.67      0.69      0.63    120000
","              precision    recall  f1-score   support

           0       0.71      0.95      0.81     80000
           1       0.70      0.22      0.33     20000
           2       0.67      0.24      0.35     20000

    accuracy                           0.71    120000
   macro avg       0.69      0.47      0.50    120000
weighted avg       0.70      0.71      0.66    120000
","top_or_bottom_optimized
0    80000
1    20000
2    20000
Name: count, dtype: int64"
LGBM,D,0.2,"{'n_estimators': 1000, 'learning_rate': 0.01, 'max_depth': 6, 'num_leaves': 31, 'min_child_samples': 20, 'min_split_gain': 0.1, 'subsample': 0.8, 'colsample_bytree': 0.8, 'class_weight': {0: 1, 1: 4, 2: 4}, 'objective': 'multiclass', 'num_class': 3, 'metric': 'multi_logloss', 'random_state': 42}","              precision    recall  f1-score   support

           0       0.81      0.47      0.59     80000
           1       0.37      0.65      0.47     20000
           2       0.38      0.74      0.50     20000

    accuracy                           0.54    120000
   macro avg       0.52      0.62      0.52    120000
weighted avg       0.66      0.54      0.56    120000
","              precision    recall  f1-score   support

           0       0.84      0.46      0.60     80000
           1       0.38      0.74      0.51     20000
           2       0.40      0.75      0.52     20000

    accuracy                           0.56    120000
   macro avg       0.54      0.65      0.54    120000
weighted avg       0.69      0.56      0.57    120000
","top_or_bottom_optimized
0    80000
1    20000
2    20000
Name: count, dtype: int64"
CAT,D,0.2,"{'iterations': 1000, 'learning_rate': 0.01, 'depth': 6, 'l2_leaf_reg': 10, 'bagging_temperature': 1, 'random_strength': 1, 'class_weights': [1, 4, 4], 'loss_function': 'MultiClass', 'eval_metric': 'MultiClass', 'random_seed': 42, 'verbose': 100}","              precision    recall  f1-score   support

           0       0.80      0.47      0.59     80000
           1       0.37      0.63      0.46     20000
           2       0.38      0.73      0.50     20000

    accuracy                           0.54    120000
   macro avg       0.51      0.61      0.52    120000
weighted avg       0.66      0.54      0.55    120000
","              precision    recall  f1-score   support

           0       0.81      0.45      0.58     80000
           1       0.36      0.69      0.47     20000
           2       0.37      0.70      0.49     20000

    accuracy                           0.53    120000
   macro avg       0.51      0.61      0.51    120000
weighted avg       0.66      0.53      0.55    120000
","top_or_bottom_optimized
0    80000
1    20000
2    20000
Name: count, dtype: int64"
