Feature,Importance
upper_shadow,0.197192752062724
lower_shadow,0.18078806224040686
rsi_6,0.11573508436652744
mab_10,0.11406428187981843
j,0.10725494175325313
volume_ratio,0.09958340367395913
pct_vol_chg,0.05887588001850912
rsi_12,0.030528571061934576
k,0.024059243816217706
d,0.022289224730472453
rsi_24,0.008317468646528062
pct_o2c,0.00785709881999693
turnover_rate_f,0.007841852069930261
turnover_rate,0.007123630245326891
bar,0.006417202689821763
pct_chg,0.0034857671151220515
change,0.003297064795572298
dif,0.0031600583494903827
vol,0.0014363419103807264
mab_200,0.0003500511558538285
atr,0.00020109642985420572
pb,3.8492919993599765e-05
circ_mv,2.9304736155626054e-05
total_mv,2.52287209081199e-05
total_share,2.00776210627252e-05
ps_ttm,1.1894370977981075e-05
ps,8.502054881888928e-06
free_share_ratio,7.421744319745837e-06
