"ts_code","symbol_elapsed","latest","fusion"
"000001.SZ","33.4","10.31","23.09"
"000002.SZ","1.89","1.58","0.3"
"000004.SZ","3.76","1.6","2.16"
"000006.SZ","1.91","1.6","0.31"
"000007.SZ","3.02","1.68","1.34"
"000008.SZ","1.95","1.62","0.32"
"000009.SZ","2.02","1.7","0.31"
"000010.SZ","2.88","1.58","1.29"
"000011.SZ","1.94","1.62","0.31"
"000012.SZ","2.88","1.72","1.15"
"000014.SZ","2.06","1.71","0.35"
"000016.SZ","3","1.71","1.29"
"000017.SZ","1.91","1.6","0.31"
"000019.SZ","3.06","1.65","1.4"
"000020.SZ","3.03","1.67","1.36"
"000021.SZ","3.09","1.71","1.39"
"000025.SZ","2.07","1.75","0.31"
"000026.SZ","2","1.67","0.33"
"000027.SZ","2.03","1.71","0.33"
"000028.SZ","1.97","1.68","0.29"
