"ts_code","predict","persist","elapsed"
"000001.SZ","25.42","0.08","25.49"
"000002.SZ","1.61","0.06","1.67"
"000004.SZ","3.66","0.02","3.68"
"000006.SZ","1.65","0.02","1.66"
"000007.SZ","2.96","0.01","2.97"
"000008.SZ","1.69","0.02","1.71"
"000009.SZ","1.5","0.06","1.56"
"000010.SZ","2.63","0.01","2.64"
"000011.SZ","1.63","0.01","1.64"
"000012.SZ","2.91","0.02","2.93"
"000014.SZ","1.71","0.01","1.72"
"000016.SZ","2.3","0.01","2.31"
"000017.SZ","1.3","0.02","1.32"
"000019.SZ","2.13","0.01","2.14"
"000020.SZ","2.14","0.02","2.15"
"000021.SZ","2.34","0.01","2.35"
"000025.SZ","1.46","0.01","1.47"
"000026.SZ","1.37","0.01","1.37"
"000027.SZ","1.35","0.01","1.36"
"000028.SZ","1.59","0.01","1.6"
