ts_code,name,industry,bucket,subgroup,priority,new_profile_source,new_citic_source,old_profile_source,old_citic_source,new_rank1_code,new_rank1_name,new_rank1_score,old_rank1_code,old_rank1_name,old_rank1_score,new_rank2_code,new_rank2_name,new_rank2_score,old_rank2_code,old_rank2_name,old_rank2_score,new_rank3_code,new_rank3_name,new_rank3_score,old_rank3_code,old_rank3_name,old_rank3_score,status,notes,new_error,old_error
600036.SH,招商银行,银行,金融,银行,P0,db_company_profile,db_company_profile,db,tushare_ci_index_member,801194.SI,保险Ⅱ,8.7300,801194.SI,保险Ⅱ,8.7300,801783.SI,股份制银行Ⅱ,8.6000,801783.SI,股份制银行Ⅱ,8.6000,801193.SI,证券Ⅱ,6.7600,801193.SI,证券Ⅱ,6.7600,PASS,aligned,,
601398.SH,工商银行,银行,金融,银行,P1,db_company_profile,tushare_ci_index_member,db,tushare_ci_index_member,801782.SI,国有大型银行Ⅱ,9.5000,801782.SI,国有大型银行Ⅱ,9.5000,801193.SI,证券Ⅱ,9.0600,801193.SI,证券Ⅱ,9.0600,801194.SI,保险Ⅱ,5.8200,801194.SI,保险Ⅱ,5.8200,PASS,aligned,,
600030.SH,中信证券,证券,金融,券商,P0,db_company_profile,tushare_ci_index_member,db,tushare_ci_index_member,801193.SI,证券Ⅱ,57.7250,801193.SI,证券Ⅱ,57.7250,801194.SI,保险Ⅱ,8.7300,801194.SI,保险Ⅱ,8.7300,801191.SI,多元金融,2.0000,801191.SI,多元金融,2.0000,PASS,aligned,,
601318.SH,中国平安,保险,金融,保险,P1,db_company_profile,tushare_ci_index_member,db,tushare_ci_index_member,801194.SI,保险Ⅱ,75.4750,801194.SI,保险Ⅱ,75.4750,801191.SI,多元金融,8.0000,801191.SI,多元金融,8.0000,801193.SI,证券Ⅱ,4.6000,801193.SI,证券Ⅱ,4.6000,PASS,aligned,,
600519.SH,贵州茅台,白酒,消费,白酒,P0,db_company_profile,tushare_ci_index_member,db,tushare_ci_index_member,801125.SI,白酒Ⅱ,8.6375,801125.SI,白酒Ⅱ,8.6375,801219.SI,酒店餐饮,8.3200,801219.SI,酒店餐饮,8.3200,801127.SI,饮料乳品,3.3600,801127.SI,饮料乳品,3.3600,PASS,aligned,,
000858.SZ,五粮液,白酒,消费,白酒,P1,db_company_profile,tushare_ci_index_member,db,tushare_ci_index_member,801125.SI,白酒Ⅱ,17.5125,801125.SI,白酒Ⅱ,17.5125,801183.SI,房地产服务,8.9600,801183.SI,房地产服务,8.9600,801141.SI,包装印刷,5.0400,801141.SI,包装印刷,5.0400,PASS,aligned,,
600887.SH,伊利股份,乳制品,消费,食品饮料,P1,db_company_profile,tushare_ci_index_member,db,tushare_ci_index_member,801127.SI,饮料乳品,21.5000,801127.SI,饮料乳品,21.5000,801014.SI,饲料,15.7500,801014.SI,饲料,15.7500,801994.SI,教育,12.6000,801994.SI,教育,12.6000,PASS,aligned,,
000651.SZ,格力电器,家用电器,消费,家电,P1,db_company_profile,tushare_ci_index_member,db,tushare_ci_index_member,801153.SI,医疗器械,52.9200,801153.SI,医疗器械,52.9200,801081.SI,半导体,47.3450,801081.SI,半导体,47.3450,801111.SI,白色家电,35.0000,801111.SI,白色家电,35.0000,PASS,aligned,,
300750.SZ,宁德时代,电气设备,新能源,动力电池,P0,db_company_profile,tushare_ci_index_member,db,tushare_ci_index_member,801737.SI,电池,173.6750,801737.SI,电池,173.6750,801056.SI,能源金属,32.4000,801056.SI,能源金属,32.4000,801733.SI,其他电源设备Ⅱ,30.0000,801733.SI,其他电源设备Ⅱ,30.0000,PASS,aligned,,
601012.SH,隆基绿能,电气设备,新能源,光伏设备,P1,db_company_profile,tushare_ci_index_member,db,tushare_ci_index_member,801735.SI,光伏设备,45.0000,801735.SI,光伏设备,45.0000,801081.SI,半导体,9.7000,801081.SI,半导体,9.7000,801733.SI,其他电源设备Ⅱ,8.2000,801733.SI,其他电源设备Ⅱ,8.2000,PASS,aligned,,
