ts_code,trade_date,market,valuation_method,valuation_variant,source_valuation_price,target_valuation_price,price_equal,source_valuation_market_cap,target_valuation_market_cap,market_cap_equal,source_source,target_source,source_equal,exists_in_target
301053.SZ,2026-03-20,CN,pe,default,17.838100,17.8381,false,1580185677.87,1580185677.87,true,prefill_command,prefill_command,true,true
688283.SH,2026-03-19,CN,pe,business_match|L2|801072.SI|通用设备,16.264169,16.264169,true,1980975785.49,1980975785.49,true,prefill_refresh,prefill_refresh,true,true
301279.SZ,2026-03-19,CN,pe,default,23.115737,23.115737,true,2999011961.75,2999011961.75,true,prefill_command,prefill_command,true,true
300194.SZ,2026-03-20,CN,ddm,default,0.029429,0.029429,true,35011535.81,35011535.81,true,prefill_command,prefill_command,true,true
000019.SZ,2026-03-19,CN,pb,default,7.520010,7.52001,false,8667076796.98,8667076796.98,true,prefill_command,prefill_command,true,true
688309.SH,2026-03-19,CN,peg,business_match|L2|801037.SI|橡胶,16.713921,16.713921,true,1327106512.62,1327106512.62,true,prefill_refresh,prefill_refresh,true,true
688696.SH,2026-03-19,CN,pb,business_match|L2|801765.SI|广告营销,234.470958,234.470958,true,16417656471.78,16417656471.78,true,prefill_refresh,prefill_refresh,true,true
600967.SH,2026-03-19,CN,ps,default,11.230898,11.230898,true,19112683111.42,19112683111.42,true,prefill_command,prefill_command,true,true
688765.SH,2026-03-19,CN,fcff_dcf,business_match|L2|801982.SI|化妆品,-11.694536,-11.694536,true,-4180796696.44,-4180796696.44,true,prefill_refresh,prefill_refresh,true,true
300225.SZ,2026-03-19,CN,ps,default,4.053499,4.053499,true,1927153178.92,1927153178.92,true,prefill_command,prefill_command,true,true
300937.SZ,2026-03-19,CN,market_cap,default,30.610000,30.61,false,2928357136.00,2928357136,false,prefill_command,prefill_command,true,true
301088.SZ,2026-03-20,CN,pe,default,7.312226,7.312226,true,1666456309.04,1666456309.04,true,prefill_command,prefill_command,true,true
301369.SZ,2026-03-20,CN,pe,default,101.381049,101.381049,true,7155007899.79,7155007899.79,true,prefill_command,prefill_command,true,true
301056.SZ,2026-03-20,CN,ddm,default,0.294286,0.294286,true,78511504.86,78511504.86,true,prefill_command,prefill_command,true,true
300695.SZ,2026-03-20,CN,fcff_dcf,default,10.842987,10.842987,true,1108770491.62,1108770491.62,true,prefill_command,prefill_command,true,true
301278.SZ,2026-03-20,CN,fcff_dcf,default,-21.180721,-21.180721,true,-1900083192.60,-1900083192.6,false,prefill_command,prefill_command,true,true
600323.SH,2026-03-20,CN,peg,default,31.203376,31.203376,true,25441583642.95,25441583642.95,true,prefill_command,prefill_command,true,true
301092.SZ,2026-03-20,CN,pb,default,33.350384,33.350384,true,4486803338.29,4486803338.29,true,prefill_command,prefill_command,true,true
688419.SH,2026-03-19,CN,peg,business_match|L2|801036.SI|塑料,30.083174,30.083174,true,3446077821.84,3446077821.84,true,prefill_refresh,prefill_refresh,true,true
300201.SZ,2026-03-19,CN,pb,default,11.750017,11.750017,true,11856279717.38,11856279717.38,true,prefill_command,prefill_command,true,true
600298.SH,2026-03-20,CN,fcff_dcf,default,12.383051,12.383051,true,10748221428.31,10748221428.31,true,prefill_command,prefill_command,true,true
688616.SH,2026-03-19,CN,ps,business_match|L2|801102.SI|通信设备,19.547198,19.547198,true,3506342436.19,3506342436.19,true,prefill_refresh,prefill_refresh,true,true
301246.SZ,2026-03-19,CN,pb,default,20.120338,20.120338,true,8048272079.02,8048272079.02,true,prefill_command,prefill_command,true,true
300687.SZ,2026-03-20,CN,pb,default,19.899665,19.899665,true,8127254265.63,8127254265.63,true,prefill_command,prefill_command,true,true
301021.SZ,2026-03-20,CN,peg,default,6.503422,6.503422,true,994066147.80,994066147.8,false,prefill_command,prefill_command,true,true
600415.SH,2026-03-20,CN,fcff_dcf,default,24.455162,24.455162,true,134101329560.83,134101329560.83,true,prefill_command,prefill_command,true,true
600019.SH,2026-03-19,CN,pe,default,5.556889,5.556889,true,121040625752.75,121040625752.75,true,prefill_command,prefill_command,true,true
688127.SH,2026-03-19,CN,fcff_dcf,sw_l3_baseline|L3|850833.SI|光学元件,4.586144,4.586144,true,1861505271.33,1861505271.33,true,prefill_refresh,prefill_refresh,true,true
300804.SZ,2026-03-19,CN,fcff_dcf,default,-25.674479,-25.674479,true,-1899911466.51,-1899911466.51,true,prefill_command,prefill_command,true,true
688035.SH,2026-03-19,CN,peg,business_match|L2|801081.SI|半导体,29.929429,29.929429,true,4257161950.32,4257161950.32,true,prefill_refresh,prefill_refresh,true,true
688600.SH,2026-03-19,CN,peg,business_match|L2|801153.SI|医疗器械,12.621816,12.621816,true,1700265803.97,1700265803.97,true,prefill_refresh,prefill_refresh,true,true
688383.SH,2026-03-19,CN,ps,business_match|L2|801737.SI|电池,18.832242,18.832242,true,1914231467.64,1914231467.64,true,prefill_refresh,prefill_refresh,true,true
300308.SZ,2026-03-20,CN,fcff_dcf,default,61.581011,61.581011,true,68423790417.07,68423790417.07,true,prefill_command,prefill_command,true,true
600530.SH,2026-03-20,CN,ps,default,3.811023,3.811023,true,2953238120.75,2953238120.75,true,prefill_command,prefill_command,true,true
603755.SH,2026-03-19,CN,ddm,default,0.441429,0.441429,true,43530896.33,43530896.33,true,prefill_command,prefill_command,true,true
301631.SZ,2026-03-19,CN,fcff_dcf,default,35.364816,35.364816,true,3232859838.63,3232859838.63,true,prefill_command,prefill_command,true,true
688556.SH,2026-03-19,CN,pb,business_match|L2|801074.SI|专用设备,15.466437,15.466437,true,12849112816.19,12849112816.19,true,prefill_refresh,prefill_refresh,true,true
603629.SH,2026-03-19,CN,ddm,default,0.117714,0.117714,true,30885874.29,30885874.29,true,prefill_command,prefill_command,true,true
300184.SZ,2026-03-20,CN,peg,default,6.095108,6.095108,true,7015664916.00,7015664916,false,prefill_command,prefill_command,true,true
688122.SH,2026-03-19,CN,fcff_dcf,business_match|L2|801051.SI|金属新材料,-15.506273,-15.506273,true,-10073874945.05,-10073874945.05,true,prefill_refresh,prefill_refresh,true,true
300049.SZ,2026-03-19,CN,market_cap,default,52.450000,52.45,false,13897985955.00,13897985955,false,prefill_command,prefill_command,true,true
688037.SH,2026-03-19,CN,ps,business_match|L2|801074.SI|专用设备,28.468332,28.468332,true,5739992863.96,5739992863.96,true,prefill_refresh,prefill_refresh,true,true
688016.SH,2026-03-19,CN,fcff_dcf,default,27.361433,27.361433,true,3372628151.62,3372628151.62,true,prefill_refresh,prefill_refresh,true,true
300087.SZ,2026-03-19,CN,pe,default,-59.921001,-59.921001,true,-56765066331.48,-56765066331.48,true,prefill_command,prefill_command,true,true
300580.SZ,2026-03-20,CN,peg,default,2.381239,2.381239,true,1196150355.16,1196150355.16,true,prefill_command,prefill_command,true,true
300868.SZ,2026-03-19,CN,pb,default,39.149978,39.149978,true,5009318017.79,5009318017.79,true,prefill_command,prefill_command,true,true
301665.SZ,2026-03-20,CN,pb,default,27.349816,27.349816,true,12307417016.33,12307417016.33,true,prefill_command,prefill_command,true,true
600038.SH,2026-03-20,CN,pe,default,21.998473,21.998473,true,18036398965.92,18036398965.92,true,prefill_command,prefill_command,true,true
600794.SH,2026-03-19,CN,pb,default,3.920078,3.920078,true,4704689467.74,4704689467.74,true,prefill_command,prefill_command,true,true
301318.SZ,2026-03-19,CN,fcff_dcf,default,18.570928,18.570928,true,2512625801.38,2512625801.38,true,prefill_command,prefill_command,true,true
300881.SZ,2026-03-20,CN,ps,default,33.621628,33.621628,true,3698379058.82,3698379058.82,true,prefill_command,prefill_command,true,true
