ts_code,new_profile_source,old_profile_source,new_rank1_code,new_rank1_name,old_rank1_code,old_rank1_name,status,notes
603352.SH,db_company_profile,,801093.SI,汽车零部件,801093.SI,汽车零部件,PASS,rank1_aligned
920159.BJ,db_company_profile,,,,,,PASS,rank1_aligned
301680.SZ,db_company_profile,,801093.SI,汽车零部件,801093.SI,汽车零部件,PASS,rank1_aligned
920166.BJ,db_company_profile,,,,,,PASS,rank1_aligned
603284.SH,db_company_profile,,801143.SI,造纸,801143.SI,造纸,PASS,rank1_aligned
920050.BJ,db_company_profile,,,,,,PASS,rank1_aligned
920036.BJ,db_company_profile,,,,,,PASS,rank1_aligned
603402.SH,db_company_profile,,801993.SI,旅游及景区,801993.SI,旅游及景区,PASS,rank1_aligned
920086.BJ,db_company_profile,,,,,,PASS,rank1_aligned
920183.BJ,db_company_profile,,,,,,PASS,rank1_aligned
601112.SH,db_company_profile,,801736.SI,风电设备,801736.SI,风电设备,PASS,rank1_aligned
920187.BJ,db_company_profile,,,,,,PASS,rank1_aligned
688818.SH,db_company_profile,,801745.SI,军工电子Ⅱ,801745.SI,军工电子Ⅱ,PASS,rank1_aligned
688785.SH,db_company_profile,,801081.SI,半导体,801081.SI,半导体,PASS,rank1_aligned
920121.BJ,db_company_profile,,,,,,PASS,rank1_aligned
001220.SZ,db_company_profile,,801178.SI,物流,801178.SI,物流,PASS,rank1_aligned
688816.SH,db_company_profile,,801093.SI,汽车零部件,801093.SI,汽车零部件,PASS,rank1_aligned
920045.BJ,db_company_profile,,,,,,PASS,rank1_aligned
920119.BJ,db_company_profile,,,,,,PASS,rank1_aligned
920078.BJ,db_company_profile,,,,,,PASS,rank1_aligned
920028.BJ,db_company_profile,,,,,,PASS,rank1_aligned
920076.BJ,db_company_profile,,,,,,PASS,rank1_aligned
688712.SH,db_company_profile,,801153.SI,医疗器械,801153.SI,医疗器械,PASS,rank1_aligned
920180.BJ,db_company_profile,,,,,,PASS,rank1_aligned
920168.BJ,db_company_profile,,,,,,PASS,rank1_aligned
